Theorem,Statement,Proof,References
1.15 (b),Suppose $V$ is a neighborhood of 0 in a topological vector space $X$: Every compact subset $K$ of $X$ is bounded.,"Let $W$ be a balanced neighborhood of 0 such that $W \subset V$. By $(a)$,  $$ K \subset \bigcup_{n=1}^{\infty} n W $$  Since $K$ is compact, there are integers $n_{1}<\cdots<n_{s}$ such that  $$ K \subset n_{1} W \cup \cdots \cup n_{s} W=n_{s} W . $$  The equality holds because $W$ is balanced. If $t>n_{s}$, it follows that $K \subset t W \subset t V$.",
1.15 (c),"Suppose $V$ is a neighborhood of 0 in a topological vector space $X$, $\delta_{1}>\delta_{2}>\cdots$ and $\delta_{n} \rightarrow 0$ as $n \rightarrow \infty$, and if $V$ is bounded, then the collection

$$
\left\{\delta_{n} V: n=1,2,3, \ldots\right\}
$$

is a local base for $X$.","Let $U$ be a neighborhood of 0 in $X$. If $V$ is bounded, there exists $s>0$ such that $V \subset t U$ for all $t>s$. If $n$ is so large that $s \delta_{n}<1$, it follows that $V \subset\left(1 / \delta_{n}\right) U$. Hence $U$ actually contains all but finitely many of the sets $\delta_{n} V$.",
1.17,"Let $X$ and $Y$ be topological vector spaces. If $\Lambda: X \rightarrow Y$ is linear and continuous at 0 , then $\Lambda$ is continuous. In fact, $\Lambda$ is uniformly continuous, in the following sense: To each neighborhood $W$ of 0 in $Y$ corresponds a neighborhood $V$ of 0 in $X$ such that

$$
y-x \in V \text { implies } \Lambda y-\Lambda x \in W .
$$","Once $W$ is chosen, the continuity of $\Lambda$ at 0 shows that $\Lambda V \subset W$ for some neighborhood $V$ of 0 . If now $y-x \in V$, the linearity of $\Lambda$ shows that $\Lambda y-\Lambda x=\Lambda(y-x) \in W$. Thus $\Lambda$ maps the neighborhood $x+V$ of $x$ into the preassigned neighborhood $\Lambda x+W$ of $\Lambda x$, which says that $\Lambda$ is continuous at $x$.",
1.18,"Let $\Lambda$ be a linear functional on a topological vector space $X$. Assume $\Lambda x \neq 0$ for some $x \in X$. Then each of the following four properties implies the other three:

(a) $\Lambda$ is continuous.

(b) The null space $\mathcal{N}(\Lambda)$ is closed.

(c) $\mathcal{N}(\Lambda)$ is not dense in $X$.

(d) $\Lambda$ is bounded in some neighborhood $V$ of 0 .","Since $\mathscr{N}(\Lambda)=\Lambda^{-1}(\{0\})$ and $\{0\}$ is a closed subset of the scalar field $\Phi,(a)$ implies $(b)$. By hypothesis, $\mathcal{N}(\Lambda) \neq X$. Hence $(b)$ implies $(c)$.  Assume (c) holds; i.e., assume that the complement of $\mathcal{N}(\Lambda)$ has nonempty interior. By Theorem 1.14,  $$ (x+V) \cap \mathcal{N}(\Lambda)=\varnothing $$  for some $x \in X$ and some balanced neighborhood $V$ of 0 . Then $\Lambda V$ is a balanced subset of the field $\Phi$. Thus either $\Lambda V$ is bounded, in which case $(d)$ holds, or $\Lambda V=\Phi$. In the latter case, there exists $y \in V$ such that $\Lambda y=-\Lambda x$, and so $x+y \in \mathcal{N}(\Lambda)$, in contradiction to (1). Thus (c) implies $(d)$.  Finally, if $(d)$ holds then $|\Lambda x|<M$ for all $x$ in $V$ and for some $M<\infty$. If $r>0$ and if $W=(r / M) V$, then $|\Lambda x|<r$ for every $x$ in $W$. Hence $\Lambda$ is continuous at the origin. By Theorem 1.17, this implies $(a)$.","In a topological vector space $X$, every neighborhood of 0 contains a balanced neighborhood of 0 .;In a topological vector space $X$, every convex neighborhood of 0 contains a balanced convex neighborhood of 0 .; Let $X$ and $Y$ be topological vector spaces. If $\Lambda: X \rightarrow Y$ is linear and continuous at 0 , then $\Lambda$ is continuous. In fact, $\Lambda$ is uniformly continuous, in the following sense: To each neighborhood $W$ of 0 in $Y$ corresponds a neighborhood $V$ of 0 in $X$ such that

$$
y-x \in V \text { implies } \Lambda y-\Lambda x \in W .
$$;  ;  ; "
1.20,"If $X$ is a complex topological vector space and $f: \mathscr{C}^{n} \rightarrow X$ is linear, then $f$ is continuous.","Let $\left\{e_{1}, \ldots, e_{n}\right\}$ be the standard basis of $\mathscr{C}^{n}$ : The $k$ th coordinate of $e_{k}$ is 1 , the others are 0 . Put $u_{k}=f\left(e_{k}\right)$, for $k=1, \ldots, n$. Then $f(z)=z_{1} u_{1}+\cdots+z_{n} u_{n}$ for every $z=\left(z_{1}, \ldots, z_{n}\right)$ in $\mathscr{C}^{n}$. Every $z_{k}$ is a continuous function of $z$. The continuity of $f$ is therefore an immediate consequence of the fact that addition and scalar multiplication are continuous in $X$.",
1.21 (a),"If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$, then every isomorphism of $\mathbb{C}^{n}$ onto $Y$ is a homeomorphism.","Suppose $f: \mathbb{C}^{n} \rightarrow Y$ is an isomorphism. This means that $f$ is linear, one-to-one, and $f\left(\mathcal{C}^{n}\right)=Y$. Put $K=f(S)$. Since $f$ is continuous (Lemma 1.20), $K$ is compact. Since $f(0)=0$ and $f$ is one-to-one, $0 \notin K$, and therefore there is a balanced neighborhood $V$ of 0 in $X$ which does not intersect $K$. The set  $$ E=f^{-1}(V)=f^{-1}(V \cap Y) $$  is therefore disjoint from $S$. Since $f$ is linear, $E$ is balanced, and hence connected. Thus $E \subset B$, because $0 \in E$, and this implies that the linear $\operatorname{map} f^{-1}$ takes $V \cap Y$ into $B$. Since $f^{-1}$ is an $n$-tuple of linear functionals on $Y$, the implication $(d) \rightarrow(a)$ in Theorem 1.18 shows that $f^{-1}$ is continuous. Thus $f$ is a homeomorphism.","Let $\Lambda$ be a linear functional on a topological vector space $X$. Assume $\Lambda x \neq 0$ for some $x \in X$. Then each of the following four properties implies the other three:

(a) $\Lambda$ is continuous.

(b) The null space $\mathcal{N}(\Lambda)$ is closed.

(c) $\mathcal{N}(\Lambda)$ is not dense in $X$.

(d) $\Lambda$ is bounded in some neighborhood $V$ of 0 .;  ;  ; "
1.21 (b),"If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$, then Y is closed.","To prove $(b)$, choose $p \in \bar{Y}$, and let $f$ and $V$ be as above. For some $t>0, p \in t V$, so that $p$ lies in the closure of  $$ Y \cap(t V) \subset f(t B) \subset f(t \bar{B}) $$  Being compact, $f(t \bar{B})$ is closed in $X$. Hence $p \in f(t \bar{B}) \subset Y$, and this proves that $\bar{Y}=Y$.",
1.22,Every locally compact topological vector space $X$ has finite dimension.,"The origin of $X$ has a neighborhood $V$ whose closure is compact. By Theorem 1.15, $V$ is bounded, and the sets $2^{-n} V(n=1,2$, $3, \ldots$ ) form a local base for $X$.  The compactness of $\bar{V}$ shows that there exist $x_{1}, \ldots, x_{m}$ in $X$ such that  $$ \bar{V} \subset\left(x_{1}+\frac{1}{2} V\right) \cup \cdots \cup\left(x_{m}+\frac{1}{2} V\right) $$  Let $Y$ be the vector space spanned by $x_{1}, \ldots, x_{m}$. Then $\operatorname{dim} Y \leq m$. By Theorem 1.21, $Y$ is a closed subspace of $X$.  Since $V \subset Y+\frac{1}{2} V$ and since $\lambda Y=Y$ for every scalar $\lambda \neq 0$, it follows that  $$ \frac{1}{2} V \subset Y+\frac{1}{4} V $$  so that  $$ V \subset Y+\frac{1}{2} V \subset Y+Y+\frac{1}{4} V=Y+\frac{1}{4} V $$  If we continue in this way, we see that  $$ V \subset \bigcap_{n=1}^{\infty}\left(Y+2^{-n} V\right) $$  Since $\left\{2^{-n} V\right\}$ is a local base, it now follows from $(a)$ of Theorem 1.13 that $V \subset \bar{Y}$. But $\bar{Y}=Y$. Thus $V \subset Y$, which implies that $k V \subset Y$ for $k=1,2,3, \ldots$ Hence $Y=X$, by $(a)$ of Theorem 1.15 , and consequently $\operatorname{dim} X \leq m$.","Suppose $V$ is a neighborhood of 0 in a topological vector space $X$ and $0<r_{1}<r_{2}<\cdots$ and $r_{n} \rightarrow \infty$ as $n \rightarrow \infty$, then

$$
X=\bigcup_{n=1}^{\infty} r_{n} V
$$;Suppose $V$ is a neighborhood of 0 in a topological vector space $X$: Every compact subset $K$ of $X$ is bounded.;Suppose $V$ is a neighborhood of 0 in a topological vector space $X$, $\delta_{1}>\delta_{2}>\cdots$ and $\delta_{n} \rightarrow 0$ as $n \rightarrow \infty$, and if $V$ is bounded, then the collection

$$
\left\{\delta_{n} V: n=1,2,3, \ldots\right\}
$$

is a local base for $X$.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x+x^{*}, i\left(x-x^{*}\right)$, and $x x^{*}$ are hermitian.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x$ has a unique representation $x=u+i v$, with $u \in A, v \in A$, and both $u$ and $v$ hermitian.;If $A$ is a Banach algebra with an involution, then the unit $e$ is hermitian.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x$ is invertible in $A$ if and only if $x^{*}$ is invertible, in which case $\left(x^{*}\right)^{-1}=\left(x^{-1}\right)^{*}$.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $\lambda \in \sigma(x)$ if and only if $\bar{\lambda} \in \sigma\left(x^{*}\right)$.; If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$, then every isomorphism of $\mathbb{C}^{n}$ onto $Y$ is a homeomorphism.;If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$, then Y is closed.; Let $X$ be a topological vector space. If $A \subset X$ then $\bar{A}=\bigcap(A+V)$, where $V$ runs through all neighborhoods of 0 .;Let $X$ be a topological vector space. If $A \subset X$ and $B \subset X$, then $\bar{A}+\bar{B} \subset \overline{A+B}$.;Let $X$ be a topological vector space. If $Y$ is a subspace of $X$, so is $\bar{Y}$.;Let $X$ be a topological vector space. If $C$ is a convex subset of $X$, so are $\bar{C}$ and $C^{\circ}$.;Let $X$ be a topological vector space. If $B$ is a balanced subset of $X$, so is $\bar{B}$; if also $0 \in B^{\circ}$ then $B^{\circ}$ is balanced.;Let $X$ be a topological vector space. If $E$ is a bounded subset of $X$, so is $\bar{E}$.; Suppose $V$ is a neighborhood of 0 in a topological vector space $X$ and $0<r_{1}<r_{2}<\cdots$ and $r_{n} \rightarrow \infty$ as $n \rightarrow \infty$, then

$$
X=\bigcup_{n=1}^{\infty} r_{n} V
$$;Suppose $V$ is a neighborhood of 0 in a topological vector space $X$: Every compact subset $K$ of $X$ is bounded.;Suppose $V$ is a neighborhood of 0 in a topological vector space $X$, $\delta_{1}>\delta_{2}>\cdots$ and $\delta_{n} \rightarrow 0$ as $n \rightarrow \infty$, and if $V$ is bounded, then the collection

$$
\left\{\delta_{n} V: n=1,2,3, \ldots\right\}
$$

is a local base for $X$.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x+x^{*}, i\left(x-x^{*}\right)$, and $x x^{*}$ are hermitian.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x$ has a unique representation $x=u+i v$, with $u \in A, v \in A$, and both $u$ and $v$ hermitian.;If $A$ is a Banach algebra with an involution, then the unit $e$ is hermitian.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $x$ is invertible in $A$ if and only if $x^{*}$ is invertible, in which case $\left(x^{*}\right)^{-1}=\left(x^{-1}\right)^{*}$.;If $A$ is a Banach algebra with an involution, and if $x \in A$, then $\lambda \in \sigma(x)$ if and only if $\bar{\lambda} \in \sigma\left(x^{*}\right)$.;  ;  ; "
1.23,"If $X$ is a locally bounded topological vector space with the Heine-Borel property, then $X$ has finite dimension.","By assumption, the origin of $X$ has a bounded neighborhood $V$. Statement $(f)$ of Theorem 1.13 shows that $\bar{V}$ is also bounded. Thus $\bar{V}$ is compact, by the Heine-Borel property. This says that $X$ is locally compact, hence finite-dimensional, by Theorem 1.22.","Let $X$ be a topological vector space. If $A \subset X$ then $\bar{A}=\bigcap(A+V)$, where $V$ runs through all neighborhoods of 0 .;Let $X$ be a topological vector space. If $A \subset X$ and $B \subset X$, then $\bar{A}+\bar{B} \subset \overline{A+B}$.;Let $X$ be a topological vector space. If $Y$ is a subspace of $X$, so is $\bar{Y}$.;Let $X$ be a topological vector space. If $C$ is a convex subset of $X$, so are $\bar{C}$ and $C^{\circ}$.;Let $X$ be a topological vector space. If $B$ is a balanced subset of $X$, so is $\bar{B}$; if also $0 \in B^{\circ}$ then $B^{\circ}$ is balanced.;Let $X$ be a topological vector space. If $E$ is a bounded subset of $X$, so is $\bar{E}$.; Every locally compact topological vector space $X$ has finite dimension.;  ;  ; "
1.24,"If $X$ is a topological vector space with a countable local base, then there is a metric $d$ on $X$ such that

(a) $d$ is compatible with the topology of $X$,

(b) the open balls centered at 0 are balanced, and

(c) $d$ is invariant: $d(x+z, y+z)=d(x, y)$ for $x, y, z \in X$.

If, in addition, $X$ is locally convex, then $d$ can be chosen so as to satisfy $(a),(b),(c)$, and also

(d) all open balls are convex.","By Theorem 1.14, $X$ has a balanced local base $\left\{V_{n}\right\}$ such that  $$ V_{n+1}+V_{n+1}+V_{n+1}+V_{n+1} \subset V_{n} \quad(n+1,2,3, \ldots) $$  when $X$ is locally convex, this local base can be chosen so that each $V_{n}$ is also convex.  Let $D$ be the set of all rational numbers $r$ of the form  $$ r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n} $$  where each of the ""digits"" $c_{i}(r)$ is 0 or 1 and only finitely many are 1 . Thus each $r \in D$ satisfies the inequalities $0 \leq r<1$.  Put $A(r)=X$ if $r \geq 1$; for any $r \in D$, define  $$ A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots $$  Note that each of these sums is actually finite. Define  $$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X) $$  and  $$ d(x, y)=f(x-y) \quad(x \in X, y \in X) $$  The proof that this $d$ has the desired properties depends on the inclusions  $$ A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) $$  Before proving (6), let us see how the theorem follows from it. Since every $A(s)$ contains 0 , (6) imples  $$ A(r) \subset A(r)+A(t-r) \subset A(t) \quad \text { if } \quad r<t . $$  Thus $\{A(r)\}$ is totally ordered by set inclusion. We claim that  $$ f(x+y) \leq f(x)+f(y) \quad(x \in X, y \in X) . $$  In the proof of (8) we may, of course, assume that the right side is $<1$. Fix $\varepsilon>0$. There exist $r$ and $s$ in $D$ such that  $$ f(x)<r, \quad f(y)<s, \quad r+s<f(x)+f(y)+\varepsilon $$  Thus $x \in A(r), y \in A(s)$, and (6) implies $x+y \in A(r+s)$. Now (8) follows, because  $$ f(x+y) \leq r+s<f(x)+f(y)+\varepsilon, $$  and $\varepsilon$ was arbitrary.  Since each $A(r)$ is balanced, $f(x)=f(-x)$. It is obvious that $f(0)=0$. If $x \neq 0$, then $x \notin V_{n}=A\left(2^{-n}\right)$ for some $n$, and so $f(x) \geq 2^{-n}>0$.  These properties of $f$ show that (5) defines a translation-invariant metric $d$ on $X$. The open balls centered at 0 are the open sets  $$ B_{\delta}(0)=\{x: f(x)<\delta\}=\bigcup_{r<\delta} A(r) $$  If $\delta<2^{-n}$, then $B_{\delta}(0) \subset V_{n}$. Hence $\left\{B_{\delta}(0)\right\}$ is a local base for the topology of $X$. This proves $(a)$. Since each $A(r)$ is balanced, so is each $B_{\delta}(0)$.  If each $V_{n}$ is convex, so is each $A(r)$, and (9) implies that the same is true of each $B_{\delta}(0)$, hence also of each translate of $B_{\delta}(0)$.","In a topological vector space $X$, every neighborhood of 0 contains a balanced neighborhood of 0 .;In a topological vector space $X$, every convex neighborhood of 0 contains a balanced convex neighborhood of 0 .;  ;  ; "
1.26,"Suppose that $\left(X, d_{1}\right)$ and $\left(Y, d_{2}\right)$ are metric spaces, and $\left(X, d_{1}\right)$ is complete. If $E$ is a closed set in $X, f: E \rightarrow Y$ is continuous, and

$$
d_{2}\left(f\left(x^{\prime}\right), f\left(x^{\prime \prime}\right)\right) \geq d_{1}\left(x^{\prime}, x^{\prime \prime}\right)
$$

for all $x^{\prime}, x^{\prime \prime} \in E$, then $f(E)$ is closed.","Pick $y \in \overline{f(E)}$. There exist points $x_{n} \in E$ so that $y=\lim f\left(x_{n}\right)$. Thus $\left\{f\left(x_{n}\right)\right\}$ is Cauchy in $Y$. Our hypothesis implies therefore that $\left\{x_{n}\right\}$ is Cauchy in $X$. Being a closed subset of a complete metric space, $E$ is complete; hence there exists $x=\lim x_{n}$ in $E$. Since $f$ is continuous,  $$ f(x)=\lim f\left(x_{n}\right)=y . $$  Thus $y \in f(E) . $$",
1.27,"Suppose $Y$ is a subspace of a topological vector space $X$, and $Y$ is an $F$-space (in the topology inherited from $X$ ). Then $Y$ is a closed subspace of $X$.","Choose an invariant metric $d$ on $Y$, compatible with its topology. Let  $$ B_{1 / n}=\left\{y \in Y: d(y, 0)<\frac{1}{n}\right\} $$  let $U_{n}$ be a neighborhood of 0 in $X$ such that $Y \cap U_{n}=B_{1 / n}$, and choose symmetric neighborhoods $V_{n}$ of 0 in $X$ such that $V_{n}+V_{n} \subset U_{n}$ and $V_{n+1} \subset V_{n}$.  Suppose $x \in \bar{Y}$, and define  $$ E_{n}=Y \cap\left(x+V_{n}\right) \quad(n=1,2,3, \ldots) $$  If $y_{1} \in E_{n}$ and $y_{2} \in E_{n}$, then $y_{1}-y_{2}$ lies in $Y$ and also in $V_{n}+V_{n} \subset$ $U_{n}$, hence in $B_{1 / n}$. The diameters of the sets $E_{n}$ therefore tend to 0 . Since each $E_{n}$ is nonempty and since $Y$ is complete, it follows that the $Y$-closures of the sets $E_{n}$ have exactly one point $y_{0}$ in common.  Let $W$ be a neighborhood of 0 in $X$, and define  $$ F_{n}=Y \cap\left(x+W \cap V_{n}\right) $$  The preceding argument shows that the $Y$-closures of the sets $F_{n}$ have one common point $y_{W}$. But $F_{n} \subset E_{n}$. Hence $y_{W}=y_{0}$. Since $F_{n} \subset$ $x+W$, it follows that $y_{0}$ lies in the $X$-closure of $x+W$, for every $W$. This implies $y_{0}=x$. Thus $x \in Y$. This proves that $\bar{Y}=Y$.",
1.28 (a),"If $d$ is a translation-invariant metric on a vector space $X$ then

$$
d(n x, 0) \leq n d(x, 0)
$$

for every $x \in X$ and for $n=1,2,3, \ldots$","Statement $(a)$ follows from  $$ d(n x, 0) \leq \sum_{k=1}^{n} d(k x,(k-1) x)=n d(x, 0) $$",
1.28 (b),"If $\left\{x_{n}\right\}$ is a sequence in a metrizable topological vector space $X$ and if $x_{n} \rightarrow 0$ as $n \rightarrow \infty$, then there are positive scalars $\gamma_{n}$ such that $\gamma_{n} \rightarrow \infty$ and $\gamma_{n} x_{n} \rightarrow 0$.","To prove $(b)$, let $d$ be a metric as in (a), compatible with the topology of $X$. Since $d\left(x_{n}, 0\right) \rightarrow 0$, there is an increasing sequence of positive integers $n_{k}$ such that $d\left(x_{n}, 0\right)<k^{-2}$ if $n \geq n_{k}$. Put $\gamma_{n}=1$ if $n<n_{1}$; put $\gamma_{n}=k$ if $n_{k} \leq n<n_{k+1}$. For such $n$,  $$ d\left(\gamma_{n} x_{n}, 0\right)=d\left(k x_{n}, 0\right) \leq k d\left(x_{n}, 0\right)<k^{-1} $$  Hence $\gamma_{n} x_{n} \rightarrow 0$ as $n \rightarrow \infty$.",
1.30,"The following two properties of a set $E$ in a topological vector space are equivalent:

(a) $E$ is bounded.

(b) If $\left\{x_{n}\right\}$ is a sequence in $E$ and $\left\{\alpha_{n}\right\}$ is a sequence of scalars such that $\alpha_{n} \rightarrow 0$ as $n \rightarrow \infty$, then $\alpha_{n} x_{n} \rightarrow 0$ as $n \rightarrow \infty$.","Suppose $E$ is bounded. Let $V$ be a balanced neighborhood of 0 in $X$. Then $E \subset t V$ for some $t$. If $x_{n} \in E$ and $\alpha_{n} \rightarrow 0$, there exists $N$ such that $\left|\alpha_{n}\right| t<1$ if $n>N$. Since $t^{-1} E \subset V$ and $V$ is balanced, $\alpha_{n} x_{n} \in V$ for all $n>N$. Thus $\alpha_{n} x_{n} \rightarrow 0$.  Conversely, if $E$ is not bounded, there is a neighborhood $V$ of 0 and a sequence $r_{n} \rightarrow \infty$ such that no $r_{n} V$ contains $E$. Choose $x_{n} \in E$ such that $x_{n} \notin r_{n} V$. Then no $r_{n}^{-1} x_{n}$ is in $V$, so that $\left\{r_{n}^{-1} x_{n}\right\}$ does not converge to 0 .",
