Type,Formula#,Type#,latex
3.2,9,Theorem," $\quad V=\left\{\mu \in C(Q)^{*}:\left|\int_{Q} \Lambda_{i} d \mu\right|<r_{i}\right.$ for $\left.1 \leq i \leq n\right\}$"
3.2,8,Theorem,"
\[
W=\left\{y \in X:\left|\Lambda_{i} y\right|<r_{i} \quad \text { for } 1 \leq i \leq n\right\},
\]"
3.24,1,Theorem,"
\[
(p+\bar{V}) \cap K=\varnothing
\]"
3.24,2,Theorem,"$$
\[
A_{i}=\overline{c o}\left(K \cap\left(x_{i}+V\right)\right) \quad(1 \leq i \leq n)
\]"
3.24,3,Theorem," $\overline{c o}(K) \subset \overline{c o}\left(A_{1} \cup \cdots \cup A_{n}\right)=\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)$."
3.24,6,Theorem,"
\[
p \in A_{i} \subset x_{i}+\bar{V} \subset K+\bar{V},
\]"
3.24,4,Theorem,"
\[
\overline{\operatorname{co}}(K)=\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)
\]"
3.24,5,Theorem,"$$
\[
p=t_{1} y_{1}+\left(1-t_{1}\right) \frac{t_{2} y_{2}+\cdots+t_{N} y_{N}}{t_{2}+\cdots+t_{N}}
\]"
3.26,1,Definition,"
\[
(\Lambda f)(q)=\Lambda(f(q)) \quad(q \in Q) .
\]"
3.26,3,Definition,"
\[
\int_{Q} f d \mu=y
\]"
3.26,2,Definition,"
\[
\Lambda y=\int_{Q}(\Lambda f) d \mu
\]"
3.27,1,Theorem,"
\[
y=\int_{Q} f d \mu
\]"
3.27,3,Theorem,"
\[
m_{i}=\int_{Q}\left(\Lambda_{i} f\right) d \mu \quad(1 \leq i \leq n)
\]"
3.27,2,Theorem,"
\[
\Lambda y=\int_{Q}(\Lambda f) d \mu
\]"
3.3,11,Definition,"$$
\[
g(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi}\left[2 r e^{i \theta}\left(2 r e^{i \theta}-z\right)\right]^{-1} f\left(2 r e^{i \theta}\right) d \theta
\]"
3.3,4,Definition,"
\[
\Delta_{r}=\{z \in \mathbb{C}:|z| \leq r\} .
\]"
3.3,7,Definition,"
\[
\left\{\frac{f(z)-f}{z}: 0<|z| \leq r\right\}
\]"
3.3,6,Definition,"
\[
\left|z^{-1} \Lambda[f(z)-f]\right| \leq r^{-1} M(\Lambda) .
\]"
3.3,3,Definition,"
\[
\int_{\Gamma_{1}} f(\zeta) d \zeta=\int_{\Gamma_{2}} f(\zeta) d \zeta
\]"
3.3,1,Definition," to  exist. ordinary holo-"
3.3,8,Definition,"
\[
f(z)-f \in z t V \quad(0<|z| \leq r) .
\]"
3.3,9,Definition,"
\[
y=\frac{1}{2 \pi i} \int_{\Gamma} \zeta^{-2} f(\zeta) d \zeta
\]"
3.32,2,Theorem,"
\[
\overline{c o}(E(K)) \subset K
\]"
6.1,1,Definition,"$$
\[
\int f^{\prime} \phi=-\int f \phi^{\prime} \quad(\phi \in \mathscr{D}) .
\]"
6.1,2,Definition,"$$
\[
\int f^{(k)} \phi=(-1)^{k} \int f \phi^{(k)} \quad(\phi \in \mathscr{D}, k=1,2,3, \ldots)
\]"
6.17,2,Theorem,"$$
\[
D^{\alpha} \Lambda_{i} \rightarrow D^{\alpha} \Lambda \text { in } \mathscr{D}^{\prime}(\Omega),
\]"
6.2,4,Theorem," $\psi_{1}(x)+\cdots+\psi_{m}(x)=1 \quad$ if $x \in V_{1} \cup \cdots \cup V_{m}$."
6.2,2,Theorem,"$$
\[
\psi_{i+1}=\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right) \phi_{i+1} \quad(i \geq 1) .
\]"
6.2,3,Theorem,"
\[
\psi_{1}+\cdots+\psi_{i}=1-\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right)
\]"
6.2,1,Theorem,"
\[
\psi_{1}(x)+\cdots+\psi_{m}(x)=1
\]"
6.21,2,Theorem,"
\[
\Lambda=\Lambda_{\omega} \text { in } \omega
\]"
6.21,1,Theorem," implies $\Lambda_{\omega_{i}}\left(\psi_{i} \phi\right)=\Lambda_{\omega}\left(\psi_{i} \phi\right)$. Hence"
6.21,4,Theorem,"
\[
\Lambda \phi_{j}=\sum_{i=1}^{m} \Lambda_{\omega_{i}}\left(\psi_{i} \phi_{j}\right) \quad(j=1,2,3, \ldots)
\]"
6.21,5,Theorem,"$$
\[
\psi_{i} \phi \in \mathscr{D}\left(\omega_{i} \cap \omega\right) \quad(i=1,2,3, \ldots)
\]"
6.25,1,Theorem,"
\[
\Lambda=\sum_{|\alpha| \leq N} c_{\alpha} D^{\alpha} \delta_{p}
\]"
6.25,2,Theorem,"
\[
\delta_{p}(\phi)=\phi(p) .
\]"
6.25,3,Theorem," $\left(D^{\alpha} \phi\right)=0 \quad$ for all $\alpha$ with $|\alpha| \leq N$."
6.25,7,Theorem," $\quad\left|\left(\operatorname{grad} D^{\beta} \phi\right)(x)\right| \leq n \cdot \eta n^{N-i}|x|^{N-i} \quad(x \in K)$,"
6.25,6,Theorem," $\operatorname{grad} D^{\beta} \phi=\left(D_{1} D^{\beta} \phi, \ldots, D_{n} D^{\beta} \phi\right)$"
6.25,4,Theorem,"
\[
\left|D^{\alpha} \phi\right| \leq \eta \text { in } K, \quad \text { if }|\alpha|=N .
\]"
6.25,8,Theorem,"
\[
\psi_{r}(x)=\psi\left(\frac{x}{r}\right) \quad\left(r>0, x \in R^{n}\right)
\]"
6.25,10,Theorem,"
\[
\left\|\psi_{r} \phi\right\|_{N} \leq \eta C\|\psi\|_{N}
\]"
6.25,11,Theorem,"$$
\[
\left(D^{\alpha} \delta_{0}\right) \phi=(-1)^{|\alpha|} \delta_{0}\left(D^{\alpha} \phi\right)=(-1)^{|\alpha|}\left(D^{\alpha} \phi\right)
\]"
6.26,8,Theorem,"
\[
\left|\Lambda_{1} \psi\right| \leq C \int_{K}|\psi(x)| d x \quad(\psi \in Y)
\]"
6.26,6,Theorem,"
\[
|\Lambda \phi| \leq \int_{K}\left|\left(T^{N+1} \phi\right)(x)\right| d x \quad\left(\phi \in \mathscr{D}_{K}\right)
\]"
6.26,7,Theorem,"
\[
\Lambda_{1} T^{N+1} \phi=\Lambda \phi \quad\left(\phi \in \mathscr{D}_{K}\right)
\]"
6.26,4,Theorem," $\quad\|\psi\|_{N} \leq \max _{x \in Q}\left|\left(T^{N} \psi\right)(x)\right| \leq \int_{Q}\left|\left(T^{N+1} \psi\right)(x)\right| d x$"
6.26,1,Theorem,"$$
\[
\Lambda \phi=(-1)^{|\alpha|} \int_{\Omega} f(x)\left(D^{\alpha} \phi\right)(x) d x
\]"
6.26,3,Theorem,"
\[
\psi(y)=\int_{Q(y)}(T \psi)(x) d x \quad\left(\psi \in \mathscr{D}_{Q}\right)
\]"
6.26,2,Theorem,"$$
\[
|\psi| \leq \max _{x \in Q}\left|\left(D_{i} \psi\right)(x)\right| \quad\left(\psi \in \mathscr{D}_{Q}\right)
\]"
6.29,4,Definition,"
\[
(u * v)(x)=\int_{R^{n}} u(y)\left(\tau_{x} \check{v}\right)(y) d y
\]"
6.29,5,Definition," $\quad(u * \phi)(x)=u\left(\tau_{x} \varnothing\right) \quad\left(u \in \mathscr{D}^{\prime}, \phi \in \mathscr{D}, x \in R^{n}\right)$,"
6.29,6,Definition,"
\[
\left(\tau_{x} u\right)(\phi)=u\left(\tau_{-x} \phi\right) \quad\left(\phi \in \mathscr{D}, x \in R^{n}\right)
\]"
6.29,2,Definition,"
\[
\left(\tau_{x} \check{u}\right)(y)=\check{u}(y-x)=u(x-y) .
\]"
6.29,3,Definition,"
\[
(u * v)(x)=\int_{R^{n}} u(y) v(x-y) d y
\]"
6.29,1,Definition," $\quad\left(\tau_{x} u\right)(y)=u(y-x), \quad \check{u}(y)=u(-y) \quad\left(y \in R^{n}\right)$."
6.3,8,Theorem,"
\[
(u *(\phi * \psi))=((u * \phi) * \psi .
\]"
6.3,4,Theorem,"
\[
\lim _{r \rightarrow 0}\left(u *\left(\eta_{r} \phi\right)\right)(x)=\left(u *\left(D_{e} \phi\right)\right)(x)
\]"
6.3,6,Theorem,"
\[
(\phi * \psi)^{\vee}(t)=\int_{R^{n}} \bar{\psi}(s)\left(\tau_{s} \zeta\right)(t) d s
\]"
6.3,7,Theorem,"
\[
(\phi * \psi)^{\vee}=\int_{K_{2}} \Psi(s) \tau_{s} \grave{\phi} d s
\]"
6.3,3,Theorem,"
\[
\eta_{r}(u * \phi)=u *\left(\eta_{r} \phi\right) .
\]"
6.3,2,Theorem,"
\[
\eta_{r}=r^{-1}\left(\tau_{0}-\tau_{r e}\right) \quad(r>0)
\]"
6.3,1,Theorem,"
\[
\tau_{x}\left(\left(D^{\alpha} \phi\right)^{\vee}\right)=(-1)^{|\alpha|} D^{\alpha}\left(\tau_{x} \varnothing\right)
\]"
6.35,1,Theorem,"
\[
(u *(\phi * \psi))=\left(u *\left(\phi_{0} * \psi\right)\right) .
\]"
6.35,3,Theorem,"
\[
((u * \psi) * \phi)=\left((u * \psi) * \phi_{0}\right.
\]"
6.35,2,Theorem,"
\[
((u * \phi) * \psi)=\left(\left(u * \phi_{0}\right) * \psi\right) .
\]"
6.36,6,Definition," $\quad((u * v) * w) * \phi=(u * v) *(w * \phi)=u *(v *(w * \phi))$"
6.36,5,Definition," $\quad(u *(v * w)) * \phi=u *((v * w) * \phi)=u *(v *(w * \phi))$."
6.36,4,Definition,"
\[
(u * v)(\phi)=u\left((v * \varnothing)^{\vee}\right) .
\]"
6.36,1,Definition,"
\[
L \phi=u *(v * \phi) \quad(\phi \in \mathscr{D}) .
\]"
6.36,3,Definition,"
\[
(u * v) * \phi=u *(v * \phi) \quad(\phi \in \mathscr{D}) .
\]"
6.36,2,Definition,"
\[
L \phi=(u * v) * \phi \quad(\phi \in \mathscr{D}) .
\]"
6.4,9,Theorem,"
\[
\alpha \phi-\alpha_{0} \phi_{0} \in W
\]"
6.4,8,Theorem,"
\[
\alpha \phi-\alpha_{0} \phi_{0}=\alpha\left(\phi-\phi_{0}\right)+\left(\alpha-\alpha_{0}\right) \phi_{0}
\]"
6.4,5,Theorem," $\quad \sup \left\{\|\phi\|_{N}: \phi \in E\right\}<\infty \quad(N=0,1,2, \ldots)$."
6.4,4,Theorem," $\phi-\phi_{i}+\delta_{i} W_{i} \subset\left(1-\delta_{i}\right) W_{i}+\delta_{i} W_{i}=W_{i}$,"
6.4,6,Theorem,"
\[
W=\left\{\phi \in \mathscr{D}(\Omega):\|\phi\|_{0}<\left\|\phi_{1}-\phi_{2}\right\|_{0}\right\},
\]"
6.4,7,Theorem,"
\[
\left(\psi_{1}+\frac{1}{2} W\right)+\left(\psi_{2}+\frac{1}{2} W\right)=\left(\psi_{1}+\psi_{2}\right)+W
\]"
6.4,3,Theorem,"
\[
\phi-\phi_{i} \in\left(1-\delta_{i}\right) W_{i}
\]"
6.4,2,Theorem,"$$
\[
\phi \in \phi_{i}+W_{i} \subset V_{i} \quad(i=1,2) .
\]"
6.4,1,Theorem,"
\[
\phi+W \subset V_{1} \cap V_{2}
\]"
7.11,7,Definition,"
\[
|\Lambda f| \leq C^{1 / p}\left\{\int_{R^{n}}\left|\left(1+|x|^{2}\right)^{N} f(x)\right|^{q} d m_{n}(x)\right\}^{1 / q}
\]"
7.11,6,Definition,"
\[
\Lambda f=\int_{R^{n}} f g d m_{n}
\]"
7.11,4,Definition,"
\[
\varepsilon_{i}=\sup _{x \in R^{n}}\left(1+|x|^{2}\right)^{k}\left|f_{i}(x)\right| \rightarrow 0
\]"
7.11,5,Definition," $\quad \int_{R^{n}}\left|\left(1+|x|^{2}\right)^{-N} g(x)\right|^{p} d m_{n}(x)=C<\infty$."
7.11,1,Definition,"
\[
u_{L}=L \circ i
\]"
7.11,2,Definition,"$$
\[
\int_{R^{n}}\left(1+|x|^{2}\right)^{-k} d \mu(x)<\infty
\]"
7.11,3,Definition,"
\[
\Lambda f=\int_{R^{n}} f d \mu
\]"
7.17,4,Lemma," $\quad P \cdot D^{\alpha}\left(\psi_{\varepsilon} \hat{\phi}\right)=\sum_{\beta \leq \alpha} c_{\alpha \beta} P \cdot\left(D^{\alpha-\beta} \hat{\phi}\right) \cdot\left(D^{\beta} \psi_{\varepsilon}\right)$."
7.17,1,Lemma,"
\[
\phi_{\varepsilon}(x)=\frac{\phi(x+\varepsilon w)-\phi(x)}{\varepsilon} \quad\left(x \in R^{n}, \varepsilon>0\right)
\]"
7.17,3,Lemma," $\quad \psi_{\varepsilon}(y)=\frac{\exp \left(i \varepsilon y_{1}\right)-1}{\varepsilon}-i y_{1} \quad\left(y \in R^{n}, \varepsilon>0\right)$."
7.17,2,Lemma,"
\[
\psi_{\varepsilon} \hat{\phi} \rightarrow 0 \text { in } \mathscr{S}_{n}, \quad \text { as } \varepsilon \rightarrow 0
\]"
7.19,8,Theorem,"
\[
((u * \phi) * \psi)=(u *(\phi * \psi)) \text {. }
\]"
7.19,3,Theorem," $\quad p_{N}\left(\tau_{x} f\right) \leq 2^{N}\left(1+|x|^{2}\right)^{N} p_{N}(f) \quad\left(x \in R^{n}, f \in \mathscr{S}_{n}\right)$."
7.19,2,Theorem," $\quad 1+|x+y|^{2} \leq 2\left(1+|x|^{2}\right)\left(1+|y|^{2}\right) \quad\left(x, y \in R^{n}\right)$"
7.19,1,Theorem,"
\[
\left(\frac{\tau_{-\varepsilon w}-\tau_{0}}{\varepsilon}\right)(u * \phi)=u *\left(\frac{\tau_{-\varepsilon w}-\tau_{0}}{\varepsilon}\right) \phi
\]"
7.19,5,Theorem,"$$
\[
|(u * \phi)(x)|=\left|u\left(\tau_{x} \varnothing\right)\right| \leq 2^{N} C p_{N}(\phi)\left(1+|x|^{2}\right)^{N},
\]"
7.19,4,Theorem,"
\[
|u(f)| \leq C p_{N}(f) \quad\left(f \in \mathscr{S}_{n}\right) ;
\]"
7.19,6,Theorem,"
\[
(u * \phi)^{\wedge}(\hat{\psi})=(\hat{\phi} \hat{u})(\hat{\psi}) .
\]"
7.19,7,Theorem,"
\[
(u * \phi)(\psi)=u\left((\phi * \psi)^{\vee}\right),
\]"
7.22,1,Theorem,"$$
\[
f(z)=\int_{R^{n}} \phi(t) e^{-i z \cdot t} d m_{n}(t) \quad\left(z \in \mathbb{C}^{n}\right)
\]"
7.22,3,Theorem,"
\[
\left|z^{\alpha}\right||f(z)| \leq\left\|D_{\alpha} \phi\right\|_{1} e^{r|\operatorname{Im} z|},
\]"
7.22,7,Theorem," $\quad|\phi(t)| \leq \gamma_{N} e^{(r-|t|) \lambda} \int_{R^{n}}(1+|x|)^{-N} d m_{n}(x)$,"
7.22,6,Theorem,"
\[
\phi(t)=\int_{R^{n}} f(x+i y) e^{i t \cdot(x+i y)} d m_{n}(x)
\]"
7.22,4,Theorem,"
\[
\phi(t)=\int_{R^{n}} f(x) e^{i t \cdot x} d m_{n}(x) \quad\left(t \in R^{n}\right)
\]"
7.22,5,Theorem," $\int_{-\infty}^{\infty} f\left(\xi+i \eta, z_{2}, \ldots, z_{n}\right) \exp \left\{i\left[t_{1}(\xi+i \eta)+t_{2} z_{2}+\cdots+t_{n} z_{n}\right]\right\} d \xi$"
7.23,8,Theorem,"
\[
f(z)=u\left(\phi_{z}\right) .
\]"
7.23,9,Theorem,"
\[
|f(z)| \leq \gamma_{0}\left\|\phi_{z}\right\|_{N} .
\]"
7.23,7,Theorem," $\quad \phi_{z}(t)=e^{-i z \cdot t} h(|t||z|-r|z|) \quad\left(t \in R^{n}\right)$."
7.23,10,Theorem,"
\[
\left|e^{-i z \cdot t}\right|=e^{y \cdot t} \leq e^{2+r|\operatorname{Im} z|}
\]"
7.23,11,Theorem,"
\[
|f(x)| \leq \gamma(1+|x|)^{N} \quad\left(x \in R^{n}\right) .
\]"
7.23,6,Theorem,"
\[
F=\int_{\Gamma} e_{-a-\lambda b} d \lambda
\]"
7.23,4,Theorem,"
\[
\hat{u}(x)=u\left(e_{-x}\right) \quad\left(x \in R^{n}\right) .
\]"
7.23,12,Theorem,"
\[
f_{\varepsilon}(z)=f(z) \hat{h}_{\varepsilon}(z) \quad\left(z \in \mathbb{C}^{n}\right)
\]"
7.23,5,Theorem,"$$
\[
g(\lambda)=f(a+\lambda b)=u\left(e_{-a-\lambda b}\right) \quad(\lambda \in \mathbb{C})
\]"
7.23,1,Theorem,"
\[
f(z)=u\left(e_{-z}\right) \quad\left(z \in \mathbb{C}^{n}\right)
\]"
7.23,2,Theorem,"$$
\[
|f(z)| \leq \gamma(1+|z|)^{N} e^{r|\operatorname{Im} z|} \quad\left(z \in \mathbb{C}^{n}\right) .
\]"
7.23,3,Theorem,"
\[
\hat{u}=(\psi u)^{\wedge}=\hat{u} * \hat{\psi}
\]"
7.245,6,Theorem," $\quad(1+|y|)^{2 r}<(2 n+2)^{r}\left(1+y_{1}^{2 r}+\cdots+y_{n}^{2 r}\right)$,"
7.245,7,Theorem,"
\[
\int_{R^{n}}(1+|y|)^{2 r}|\hat{F}(y)|^{2} d m_{n}(y)<\infty
\]"
7.245,5,Theorem,"$$
\[
\int_{R^{n}} y_{i}^{2 r}|\hat{F}(y)|^{2} d m_{n}(y)<\infty \quad(1 \leq i \leq n)
\]"
