Chapter,Type,Type#,Formula#,Path,latex
12,12.40,Theorem,2,functional/12.40 Theorem_12_2.jpg,"$$
\[
\left\|T_{u}(x)\right\| \leq\|x\| \quad(x \in A),
\]"
11,11.2,Proposition,1,functional/11.2 Proposition_11_1.jpg,"
\[
x^{\prime} y^{\prime}-x y=\left(x^{\prime}-x\right) y^{\prime}+x\left(y^{\prime}-y\right)
\]"
12,12.40,Theorem,3,functional/12.40 Theorem_12_3.jpg,"
\[
F(e)=1 \quad \text { and } \quad F\left(u^{*} u\right)=\|u\|^{2}
\]"
6,6.35,Theorem,2,functional/6.35 Theorem_6_2.jpg,"
\[
((u * \phi) * \psi)=\left(\left(u * \phi_{0}\right) * \psi\right) .
\]"
8,8.5,Theorem,8,functional/8.5 Theorem_8_8.jpg,"
\[
C^{2}=\int_{R^{n}}\left(1+|t|^{2}\right)^{-2 n} d m_{n}(t)<\infty
\]"
13,13.11,Theorem,3,functional/13.11 Theorem_13_3.jpg, $\quad H \times H=V \mathscr{G}(-T) \oplus \mathscr{G}(-T)=\mathscr{G}\left(T^{-1}\right) \oplus V \mathscr{G}\left(T^{-1}\right)$.
13,13.23,and,16,functional/13.23 and Theorem_13_16.jpg,"
\[
E(\omega) \Psi(f) \subset \Psi(f) E(\omega) .
\]"
13,13.30,Theorem,2,functional/13.30 Theorem_13_2.jpg,"$$
\[
(U x, y)=\int_{\Omega} \lambda d E_{x, y}^{\prime}(\lambda) \quad(x \in H, y \in H) .
\]"
12,12.21,Theorem,7,functional/12.21 Theorem_12_7.jpg,"
\[
\Psi(s) \Psi(t)=\Psi(s t)
\]"
10,10.35,Theorem,4,functional/10.35 Theorem_10_4.jpg,"
\[
S(\Gamma(y)) \subset \Gamma(y)
\]"
10,10.25,Theorem,2,functional/10.25 Theorem_10_2.jpg,"$$
\[
R(x)=P(x)+\sum_{m, k} c_{m, k}\left(x-\alpha_{m} e\right)^{-k}
\]"
9,9.15,Theorem,11,functional/9.15 Theorem_9_11.jpg,"$$
\[
g_{n}=\phi *\left(\mu^{n}\right)_{a}, \quad h_{n}=\phi *\left(\mu^{n}\right)_{s}
\]"
10,10.9,Theorem,4,functional/10.9 Theorem_10_4.jpg, $a b \in N \quad$ if $a \in N$ and $b \in N$.
13,13.34,Definition,1,functional/13.34 Definition_13_1.jpg,"
\[
A_{\varepsilon} x=\frac{1}{\varepsilon}[Q(\varepsilon) x-x] \quad(x \in X, \varepsilon>0)
\]"
1,1.42,Theorem,6,functional/1.42 Theorem_1_6.jpg,"
\[
\phi\left(x_{1}, \ldots, x_{n}\right)=1-g\left(x_{1}^{2}+\cdots+x_{n}^{2}\right) .
\]"
3,3.26,Definition,2,functional/3.26 Definition_3_2.jpg,"
\[
\Lambda y=\int_{Q}(\Lambda f) d \mu
\]"
11,11.20,Theorem,5,functional/11.20 Theorem_11_5.jpg,"
\[
[\pi(a)]^{*}=\pi\left(a^{*}\right) \quad(a \in A)
\]"
10,10.24,Lemma,2,functional/10.24 Lemma_10_2.jpg,"$$
\[
(\alpha e-x)^{-1} \cdot \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n} d \lambda=0
\]"
7,7.245,Theorem,4,functional/7.245 Theorem_7_4.jpg,"
\[
\int_{R^{n}}|\hat{F}|^{2} d m_{n}<\infty
\]"
10,10.26,(d).,1,functional/10.26 (d). 10.28 Theorem_10_1.jpg,"
\[
(\lambda-\alpha) h(\lambda)=f(\lambda) \quad(\lambda \in \Omega)
\]"
13,13.32,Theorem,25,functional/13.32 Theorem_13_25.jpg,"$$
\[
N Q=\int f d E
\]"
13,13.32,Theorem,19,functional/13.32 Theorem_13_19.jpg,"
\[
\mathscr{D}(N) \subset \mathscr{D}(M)
\]"
9,9.6,Definition,11,functional/9.6 Definition_9_11.jpg, $\quad(h * u)(x)=(h * v * \mu)(x)=(H * v)(x)=\int_{0}^{x} H(y) d y$.
3,3.24,Theorem,3,functional/3.24 Theorem_3_3.jpg, $\overline{c o}(K) \subset \overline{c o}\left(A_{1} \cup \cdots \cup A_{n}\right)=\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)$.
2,2.9,Theorem,5,functional/2.9 Theorem_2_5.jpg,"
\[
z=\left(1-p^{-1}\right) x_{0}+p^{-1} x
\]"
2,2.9,Theorem,1,functional/2.9 Theorem_2_1.jpg,"
\[
E=\bigcap_{\Lambda \in \Gamma} \Lambda^{-1}(\bar{U}) .
\]"
10,10.1,Definition,4,functional/10.1 Definition_10_4.jpg,"
\[
\|x y\| \leq\|x\|\|y\| \quad(x \in A, y \in A)
\]"
10,10.26,Definition,1,functional/10.26 Definition_10_1.jpg,"
\[
A_{\boldsymbol{\Omega}}=\{x \in A: \sigma(x) \subset \Omega\}
\]"
13,13.32,Theorem,21,functional/13.32 Theorem_13_21.jpg," $\quad\left\{Q_{i} x, Q_{i} N x\right\} \in \mathscr{G}(M) \quad[x \in \mathscr{D}(N), i=1,2,3, \ldots]$."
10,10.31,Theorem,4,functional/10.31 Theorem_10_4.jpg,"
\[
f^{-1}(\alpha) \cap \sigma(T) \neq \varnothing
\]"
11,11.20,Theorem,1,functional/11.20 Theorem_11_1.jpg,"
\[
y=\tilde{f}(x),
\]"
8,8.5,Theorem,11,functional/8.5 Theorem_8_11.jpg,"$$
\[
|\hat{\phi}(t)| \leq A r^{-N} \int_{T^{n}}|\hat{\psi}(t+r w)| d \sigma_{n}(w) \quad\left(t \in R^{n}\right)
\]"
10,10.24,Lemma,6,functional/10.24 Lemma_10_6.jpg,"
\[
\operatorname{Ind}_{\Gamma_{r}}(\zeta)=1=\operatorname{Ind}_{\Gamma}(\zeta)
\]"
13,13.24,Theorem,4,functional/13.24 Theorem_13_4.jpg,"
\[
\Psi(f)^{*}=\Psi(\bar{f})
\]"
3,3.20,and,5,functional/3.20 and (b) of Theorem_3_5.jpg,"$$
\[
\sum_{i=1}^{n} c_{i} \Lambda_{i} f(q)<\sum_{i=1}^{n} c_{i} t_{i} \quad(q \in Q)
\]"
1,1.42,Theorem,2,functional/1.42 Theorem_1_2.jpg,"
\[
V_{n}=\left\{f \in C(\Omega): p_{n}(f)<\frac{1}{n}\right\} \quad(n=1,2,3, \ldots)
\]"
12,12.44,Theorem,3,functional/12.44 Theorem_12_3.jpg," $\quad\left\|y-A_{n} x\right\|^{2}=\left\|b(U) x-a_{n}(U) x\right\|^{2}=\int_{\sigma(U)}\left|b-a_{n}\right|^{2} d E_{x, x}$."
13,13.8,Theorem,4,functional/13.8 Theorem_13_4.jpg," $\quad(\{-T x, x\},\{y, z\})=0 \quad$ for every $x \in \mathscr{D}(T)$."
2,2.6,Theorem,3,functional/2.6 Theorem_2_3.jpg, $\|\Lambda x\| \leq M\|x\| \quad$ if $x \in X$ and $\Lambda \in \Gamma$.
11,11.28,Theorem,12,functional/11.28 Theorem_11_12.jpg, $\quad|F(x)| \leq\left|\Phi\left(x_{1}\right)\right|+\left|\Phi\left(x_{2}\right)\right| \leq\left\|x_{1}\right\|+\left\|x_{2}\right\| \leq \gamma\|x\|$.
11,11.28,Theorem,8,functional/11.28 Theorem_11_8.jpg,"
\[
w^{*} w=2 u^{2}+2 v^{2}-w w^{*}=2 u^{2}+2 v^{2}-z^{2} x .
\]"
12,12.21,Theorem,3,functional/12.21 Theorem_12_3.jpg,"
\[
\|\Psi(f) x\|^{2}=\int_{\Omega}|f|^{2} d E_{x, x} \quad\left(x \in H, f \in L^{\infty}(E)\right)
\]"
12,12.10,Theorem,4,functional/12.10 Theorem_12_4.jpg,"
\[
y \in \mathscr{R}(T)^{\perp} .
\]"
13,13.30,Theorem,6,functional/13.30 Theorem_13_6.jpg,"
\[
A(I-U)=i(I+U),
\]"
3,3.1,Definition,1,functional/3.1 Definition_3_1.jpg,"
\[
f(x)=u(x)-i u(i x) \quad(x \in X)
\]"
13,13.23,and,12,functional/13.23 and Theorem_13_12.jpg,"$$
\[
\Psi\left(f_{n}\right)=\Psi(f) \Psi\left(\phi_{n}\right)
\]"
3,3.30,Definition,11,functional/3.30 Definition_3_11.jpg,"$$
\[
g(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi}\left[2 r e^{i \theta}\left(2 r e^{i \theta}-z\right)\right]^{-1} f\left(2 r e^{i \theta}\right) d \theta
\]"
12,12.40,Theorem,7,functional/12.40 Theorem_12_7.jpg,"
\[
F\left(b^{*} a\right)=F\left(a^{*} b\right)=0,
\]"
11,11.2,Proposition,4,functional/11.2 Proposition_11_4.jpg," $\quad\left\|\pi\left(x_{1} x_{2}\right)\right\| \leq\left\|\left(x_{1}+y_{1}\right)\left(x_{2}+y_{2}\right)\right\| \leq\left\|x_{1}+y_{1}\right\|\left\|x_{2}+y_{2}\right\|$,"
3,3.32,The,2,functional/3.32 The Krein-Milman Theorem_3_2.jpg,"
\[
\overline{c o}(E(K)) \subset K
\]"
11,11.2,Proposition,5,functional/11.2 Proposition_11_5.jpg,"
\[
\left\|\pi\left(x_{1}\right) \pi\left(x_{2}\right)\right\| \leq\left\|\pi\left(x_{1}\right)\right\|\left\|\pi\left(x_{2}\right)\right\| .
\]"
12,12.40,Theorem,6,functional/12.40 Theorem_12_6.jpg,"
\[
\left(a^{\prime}, b^{\prime}\right)=F\left(b^{*} a\right)
\]"
13,13.23,and,13,functional/13.23 and Theorem_13_13.jpg,"
\[
\Psi\left(\phi_{n}\right) v=\Psi\left(\bar{f}_{n}\right) z \quad(n=1,2,3, \ldots)
\]"
13,13.30,Theorem,7,functional/13.30 Theorem_13_7.jpg," $\quad(A x, y)=\int_{\Omega} f d E_{x, y}^{\prime} \quad[x \in \mathscr{D}(A), y \in H]$."
12,12.22,applies,3,functional/12.22 applies to A. By Theorem_12_3.jpg,"
\[
\|f(T)\| \leq \sup \{|f(\lambda)|: \lambda \in \sigma(T)\}
\]"
10,10.35,Theorem,1,functional/10.35 Theorem_10_1.jpg,"
\[
S(M) \subset M
\]"
12,12.21,Theorem,2,functional/12.21 Theorem_12_2.jpg,"
\[
\Psi(f)=\int_{\Omega} f d E
\]"
11,11.28,Theorem,9,functional/11.28 Theorem_11_9.jpg, $\quad\left|F\left(u_{n}\right)\right|^{2} \leq F\left(u_{n}^{2}\right) \leq F\left(u_{n}^{2}+v_{n}^{2}\right) \leq\left\|u_{n}^{2}+v_{n}^{2}\right\| \rightarrow 0$.
10,10.9,Theorem,1,functional/10.9 Theorem_10_1.jpg," $\phi(x y)=\phi(x) \phi(y) \quad(x \in A, y \in A)$."
2,2.6,Theorem,2,functional/2.6 Theorem_2_2.jpg,$$ $\|\Lambda x\| \leq M \quad$ if $\|x\| \leq 1$ and $\Lambda \in \Gamma$.
6,6.26,Theorem,8,functional/6.26 Theorem_6_8.jpg,"
\[
\left|\Lambda_{1} \psi\right| \leq C \int_{K}|\psi(x)| d x \quad(\psi \in Y)
\]"
13,13.8,Theorem,5,functional/13.8 Theorem_13_5.jpg,"$$
\[
\{y, z\} \in[V \mathscr{G}(T)]^{\perp} \quad \quad / / /
\]"
1,1.42,Theorem,3,functional/1.42 Theorem_1_3.jpg,"
\[
|\alpha|=\alpha_{1}+\cdots+\alpha_{n} .
\]"
12,12.44,Theorem,2,functional/12.44 Theorem_12_2.jpg,"
\[
a_{n}(\lambda)=\frac{1}{n}\left(1+\lambda+\cdots+\lambda^{n-1}\right)
\]"
3,3.20,and,4,functional/3.20 and (b) of Theorem_3_4.jpg,"
\[
\sum_{i=1}^{n} c_{i} u_{i}<\sum_{i=1}^{n} c_{i} t_{i}
\]"
7,7.245,Theorem,1,functional/7.245 Theorem_7_1.jpg,"
\[
r>p+\frac{n}{2}
\]"
8,8.5,Theorem,10,functional/8.5 Theorem_8_10.jpg,"
\[
u(P(D) \phi)=\phi \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right)
\]"
10,10.5,Definition,2,functional/10.5 Definition_10_2.jpg,"$$
\[
x^{-1} x=x x^{-1}=e
\]"
13,13.32,Theorem,20,functional/13.32 Theorem_13_20.jpg," $\quad P_{i} N x=N P_{i} x=M P_{i} x \quad[x \in \mathscr{D}(N), i=1,2,3, \ldots]$"
3,3.24,Theorem,6,functional/3.24 Theorem_3_6.jpg,"
\[
p \in A_{i} \subset x_{i}+\bar{V} \subset K+\bar{V},
\]"
10,10.1,Definition,5,functional/10.1 Definition_10_5.jpg,"
\[
x e=e x=x \quad(x \in A)
\]"
10,10.26,Definition,2,functional/10.26 Definition_10_2.jpg,"$$
\[
\tilde{f}(x)=\frac{1}{2 \pi i} \int_{\Gamma} f(\lambda)(\lambda e-x)^{-1} d \lambda
\]"
3,3.24,Theorem,4,functional/3.24 Theorem_3_4.jpg,"
\[
\overline{\operatorname{co}}(K)=\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)
\]"
2,2.9,Theorem,2,functional/2.9 Theorem_2_2.jpg,"
\[
K=\bigcup_{n=1}^{\infty}(K \cap n E)
\]"
10,10.1,Definition,7,functional/10.1 Definition_10_7.jpg,"
\[
(x, \alpha)(y, \beta)=(x y+\alpha y+\beta x, \alpha \beta),
\]"
13,13.32,Theorem,22,functional/13.32 Theorem_13_22.jpg,"
\[
T=N\left(I+\sqrt{N^{*} N}\right)^{-1},
\]"
8,8.5,Theorem,12,functional/8.5 Theorem_8_12.jpg,"$$
\[
|\phi| \leq A r^{-N}\|P(D) \phi\| \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right) .
\]"
11,11.20,Theorem,2,functional/11.20 Theorem_11_2.jpg,"
\[
2 Q_{n}(\lambda)=P_{n}(\lambda)+\overline{P_{n}(\bar{\lambda})}
\]"
13,13.24,Theorem,7,functional/13.24 Theorem_13_7.jpg," $\quad\left\|\Psi(f) x-\Psi\left(f_{n}\right) x\right\|^{2} \leq \int_{\Omega}\left|f-f_{n}\right|^{2} d E_{x, x} \rightarrow 0 \quad$ as $n \rightarrow \infty$,"
