Theorem,Statement,Proof
4.15 (a),"Suppose $X$ and $Y$ are Banach spaces, and $T \in \mathscr{B}(X, Y)$. Then $
\mathscr{R}(T)=Y$ if and only if $T^{*}$ is one-to-one and $
\mathscr{R}\left(T^{*}\right)$ is norm-closed.","If $(a)$ holds then $T^{*}$ is one-to-one, by Theorem 4.12. The implication $(d) \rightarrow(a)$ of Theorem 4.13 shows that $T^{*}$ is (a multiple of) a dilation; hence $
\mathscr{R}\left(T^{*}\right)$ is closed, by Theorem 1.26."
4.15 (b),"Suppose $X$ and $Y$ are Banach spaces, and $T \in \mathscr{B}(X, Y)$. Then $T^{*}$ is one-to-one and $
\mathscr{R}\left(T^{*}\right)$ is norm-closed if and only if $
\mathscr{R}(T)=Y$.","If $(b)$ holds, then $
\mathscr{R}(T)$ is dense in $Y$, again by Theorem 4.12 , and $
\mathscr{R}(T)$ is closed by Theorem 4.14."
5.20,"Suppose $X$ is a Banach space, $A$ and $B$ are closed subspaces of $X$, and $X=A+B$. Then there exists a constant $\gamma<\infty$ such that every $x \in X$ has a representation $x=a+b$, where $a \in A, b \in B$, and $\|a\|+\|b\| \leq \gamma\|x\|$","Let $Y$ be the vector space of all ordered pairs $(a, b)$, with $a \in A, b \in B$, and componentwise addition and scalar multiplication, normed by

$$
\|(a, b)\|=\|a\|+\|b\| .
$$

Since $A$ and $B$ are complete, $Y$ is a Banach space. The mapping $\Lambda: Y \rightarrow X$ defined by

$$
\Lambda(a, b)=a+b
$$

is continuous, since $\|a+b\| \leq\|(a, b)\|$, and maps $Y$ onto $X$. By the open mapping theorem, there exists $\gamma<\infty$ such that each $x \in X$ is $\Lambda(a, b)$ for some $(a, b)$ with $\|(a, b)\| \leq \gamma\|x\|$."
1.26,"Suppose that $(X, d_{1})$ and $(Y, d_{2})$ are metric spaces, and $(X, d_{1})$ is complete. If $E$ is a closed set in $X, f: E \rightarrow Y$ is continuous, and

$$
d_{2}\left(f\left(x^{\prime}\right), f\left(x^{\prime \prime}\right)\right) \geq d_{1}\left(x^{\prime}, x^{\prime \prime}\right)
$$

for all $x^{\prime}, x^{\prime \prime} \in E$, then $f(E)$ is closed.","Pick $y \in \overline{f(E)}$. There exist points $x_{n} \in E$ so that $y=\lim f\left(x_{n}\right)$. Thus $\left\{f\left(x_{n}\right)\right\}$ is Cauchy in $Y$. Our hypothesis implies therefore that $\left\{x_{n}\right\}$ is Cauchy in $X$. Being a closed subset of a complete metric space, $E$ is complete; hence there exists $x=\lim x_{n}$ in $E$. Since $f$ is continuous,

$$
f(x)=\lim f\left(x_{n}\right)=y .
$$

Thus $y \in f(E)$."
3.6,"If $f$ is a continuous linear functional on a subspace $M$ of a locally convex space $X$, then there exists $\Lambda \in X^{*}$ such that $\Lambda=f$ on $M$.","Assume, without loss of generality, that $f$ is not identically 0 on $M$. Put

$$
M_{0}=\{x \in M: f(x)=0\}
$$

and pick $x_{0} \in M$ such that $f\left(x_{0}\right)=1$. Since $f$ is continuous, $x_{0}$ is not in the $M$-closure of $M_{0}$, and since $M$ inherits its topology from $X$, it follows that $x_{0}$ is not in the $X$-closure of $M_{0}$.

Theorem 3.5 therefore assures the existence of a $\Lambda \in X^{*}$ such that $\Lambda x_{0}=1$ and $\Lambda=0$ on $M_{0}$.

If $x \in M$, then $x-f(x) x_{0} \in M_{0}$, since $f\left(x_{0}\right)=1$. Hence

$$
\Lambda x-f(x)=\Lambda x-f(x) \Lambda x_{0}=\Lambda\left(x-f(x) x_{0}\right)=0
$$

Thus $\Lambda=f$ on $M$."
1.42,"Suppose $N$ and $F$ are subspaces of a topological vector space $X, N$ is closed, and $F$ has finite dimension. Then $N+F$ is closed.","Let $\pi$ be the quotient map of $X$ onto $X / N$, and give $X / N$ its quotient topology. Then $\pi(F)$ is a finite-dimensional subspace of $X / N$; since $X / N$ is a topological vector space, Theorem 1.21 implies that $\pi(F)$ is closed in $X / N$. Since $N+F=\pi^{-1}(\pi(F))$ and $\pi$ is continuous, we conclude that $N+F$ is closed. (Compare Exercise 20.)"
1.43,"Suppose $p$ is a seminorm on a vector space $X$ and $N=\{x: p(x)=0\}$. Then $N$ is a subspace of $X$ (Theorem 1.34). Let $\pi$ be the quotient map of $X$ onto $X / N$, and define $\tilde{p}(\pi(x))=p(x)$. If $\pi(x)=\pi(y)$, then $p(x-y)=0$, and since $|p(x)-p(y)| \leq p(x-y)$, it follows that $\tilde{p}(\pi(x))=\tilde{p}(\pi(y))$. Thus $\tilde{p}$ is well defined on $X / N$, and it is now easy to verify that $\tilde{p}$ is a norm on $X / N$.",
5.1,"Suppose $X$ and $Y$ are $F$-spaces, $Y^{*}$ separates points on $Y$, $T: X \rightarrow Y$ is linear, and $\Lambda T x_{n} \rightarrow 0$ for every $\Lambda \in Y^{*}$ whenever $x_{n} \rightarrow 0$. Then $T$ is continuous.","Suppose $x_{n} \rightarrow x$ and $T x_{n} \rightarrow y$. If $\Lambda \in Y^{*}$, then

$$
\Lambda T\left(x_{n}-x\right) \rightarrow 0
$$

so that

$$
\Lambda y=\lim \Lambda T x_{n}=\Lambda T x
$$

Consequently, $y=T x$, and the closed graph theorem can be applied.

In the context of Banach spaces, Theorem 5.1 can be stated as follows: If $T: X \rightarrow Y$ is linear, if $\left\|x_{n}\right\| \rightarrow 0$ implies that $T x_{n} \rightarrow 0$ weakly, then $\left\|x_{n}\right\| \rightarrow 0$ actually implies that $\left\|T x_{n}\right\| \rightarrow 0$.

To see that completeness is important here, let $X$ be the vector space of all complex infinitely differentiable functions on $(-\infty, \infty)$ which vanish outside the unit interval, put

$$
(f, g)=\int_{0}^{1} f \bar{g}, \quad\|f\|=(f, f)^{1 / 2}
$$

and define $T: X \rightarrow X$ by $(T f)(x)=i f^{\prime}(x)$. Then $(T f, g)=(f, T g)$, but $T$ is not continuous."
1.36 (a),"Suppose $\mathscr{B}$ is a convex balanced local base in a topological vector space $X$. Associate to every $V \in \mathscr{B}$ its Minkowski functional $\mu_{V}$. Then

$$
V=\left\{x \in X: \mu_{V}(x)<1\right\}
$$

for every $V \in \mathscr{B}$","If $x \in V$, then $x / t \in V$ for some $t<1$, because $V$ is open; hence $\mu_{V}(x)<1$. If $x \notin V$, then $x / t \in V$ implies $t \geq 1$, because $V$ is balanced; hence $\mu_{V}(x) \geq 1$. This proves $(a)$."
1.36 (b),"Suppose $\mathscr{B}$ is a convex balanced local base in a topological vector space $X$. Associate to every $V \in \mathscr{B}$ its Minkowski functional $\mu_{V}$. Then

$$
\left\{\mu_{V}: V \in \mathscr{B}\right\}
$$

is a separating family of continuous seminorms on $X$","Theorem 1.35 shows that each $\mu_{V}$ is a seminorm. If $r>0$, it follows from $(a)$ and Theorem 1.34 that

$$
\left|\mu_{V}(x)-\mu_{V}(y)\right| \leq \mu_{V}(x-y)<r
$$

if $x-y \in r V$. Hence $\mu_{V}$ is continuous. If $x \in X$ and $x \neq 0$, then $x \notin V$ for some $V \in \mathscr{B}$. For this $V, \mu_{V}(x) \geq 1$. Thus $\left\{\mu_{V}\right\}$ is separating."
5.4,"If $E$ is as in Theorem 5.3 and if

$$
\sum_{-\infty}^{\infty}|a(n)|^{2}=A^{2}<\infty
$$

then there exists $g \in L^{\infty}$ such that $\hat{g}(n)=a(n)$ for every $n \in E$.","If $f \in P_{E}$, the preceding proof shows that

$$
\left|\sum \hat{f}(n) a(n)\right| \leq A\left\{\sum|\hat{f}(n)|^{2}\right\}^{1 / 2}=A\|f\|_{2} \leq 2^{1 / 2} A\|f\|_{1} .
$$

Hence $f \rightarrow \sum \hat{f}(n) a(n)$ is a linear functional on $P_{E}$ which is continuous relative to the $L^{1}$-norm. By the Hahn-Banach theorem, this functional has a continuous linear extension to $L^{1}$. Hence there exists $g \in L^{\infty}$
(with $\|g\|_{\infty} \leq 2^{1 / 2} A$ ) such that

$$
\sum_{-\infty}^{\infty} \hat{f}(n) a(n)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f\left(e^{-i \theta}\right) g\left(e^{i \theta}\right) d \theta \quad\left(f \in P_{E}\right)
$$

With $f\left(e^{i \theta}\right)=e^{i n \theta}(n \in E)$, this shows that $\hat{g}(n)=a(n)$."
1.30,"The following two properties of a set $E$ in a topological vector space are equivalent:

(a) $E$ is bounded.

(b) If $\left\{x_{n}\right\}$ is a sequence in $E$ and $\left\{\alpha_{n}\right\}$ is a sequence of scalars such that $\alpha_{n} \rightarrow 0$ as $n \rightarrow \infty$, then $\alpha_{n} x_{n} \rightarrow 0$ as $n \rightarrow \infty$.","Suppose $E$ is bounded. Let $V$ be a balanced neighborhood of 0 in $X$. Then $E \subset t V$ for some $t$. If $x_{n} \in E$ and $\alpha_{n} \rightarrow 0$, there exists $N$ such that $\left|\alpha_{n}\right| t<1$ if $n>N$. Since $t^{-1} E \subset V$ and $V$ is balanced, $\alpha_{n} x_{n} \in V$ for all $n>N$. Thus $\alpha_{n} x_{n} \rightarrow 0$.

Conversely, if $E$ is not bounded, there is a neighborhood $V$ of 0 and a sequence $r_{n} \rightarrow \infty$ such that no $r_{n} V$ contains $E$. Choose $x_{n} \in E$ such that $x_{n} \notin r_{n} V$. Then no $r_{n}^{-1} x_{n}$ is in $V$, so that $\left\{r_{n}^{-1} x_{n}\right\}$ does not converge to 0 ."
1.21 (a),If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$: every isomorphism of $\mathbb{C}^{n}$ onto $Y$ is a homeomorphism.,"Suppose $f: \mathbb{C}^{n} \rightarrow Y$ is an isomorphism. This means that $f$ is linear, one-to-one, and $f\left(\mathcal{C}^{n}\right)=Y$. Put $K=f(S)$. Since $f$ is continuous (Lemma 1.20), $K$ is compact. Since $f(0)=0$ and $f$ is one-to-one, $0 \notin K$, and therefore there is a balanced neighborhood $V$ of 0 in $X$ which does not intersect $K$. The set

$$
E=f^{-1}(V)=f^{-1}(V \cap Y)
$$

is therefore disjoint from $S$. Since $f$ is linear, $E$ is balanced, and hence connected. Thus $E \subset B$, because $0 \in E$, and this implies that the linear $\operatorname{map} f^{-1}$ takes $V \cap Y$ into $B$. Since $f^{-1}$ is an $n$-tuple of linear functionals on $Y$, the implication $(d) \rightarrow(a)$ in Theorem 1.18 shows that $f^{-1}$ is continuous. Thus $f$ is a homeomorphism."
1.21 (b),If $n$ is a positive integer and $Y$ is an n-dimensional subspace of a complex topological vector space $X$: Y is closed.,"choose $p \in \bar{Y}$, and let $f$ and $V$ be as above. For some $t>0, p \in t V$, so that $p$ lies in the closure of

$$
Y \cap(t V) \subset f(t B) \subset f(t \bar{B})
$$

Being compact, $f(t \bar{B})$ is closed in $X$. Hence $p \in f(t \bar{B}) \subset Y$, and this proves that $\bar{Y}=Y$."
2.5,"Suppose $X$ and $Y$ are topological vector spaces, $\Gamma$ is a collection of continuous linear mappings from $X$ into $Y$, and $B$ is the set of all $x \in X$ whose orbits

$$
\Gamma(x)=\{\Lambda x: \Lambda \in \Gamma\}
$$

are bounded in $Y$.

If $B$ is of the second category in $X$, then $B=X$ and $\Gamma$ is equicontinuous.","Pick balanced neighborhoods $W$ and $U$ of 0 in $Y$ such that $\bar{U}+\bar{U} \subset W$. Put

$$
E=\bigcap_{\Lambda \in \Gamma} \Lambda^{-1}(\bar{U})
$$

If $x \in B$, then $\Gamma(x) \subset n U$ for some $n$, so that $x \in n E$. Consequently,

$$
B \subset \bigcup_{n=1}^{\infty} n E
$$

At least one $n E$ is of the second category in $X$, since this is true of $B$. Since $x \rightarrow n x$ is a homeomorphism of $X$ onto $X, E$ is itself of the second category in $X$. But $E$ is closed because each $\Lambda$ is continuous. Therefore $E$ has an interior point $x$. Then $x-E$ contains a neighbor-
hood $V$ of 0 in $X$, and

$$
\Lambda(V) \subset \Lambda x-\Lambda(E) \subset \bar{U}-\bar{U} \subset W
$$

for every $\Lambda \in \Gamma$.

This proves that $\Gamma$ is equicontinuous. By Theorem 2.4, $\Gamma$ is uniformly bounded; in particular, each $\Gamma(x)$ is bounded in $Y$. Hence $B=X$.

In many applications, the hypothesis that $B$ is of the second category is a consequence of Baire's theorem. For example, $F$-spaces are of the second category. This gives the following corollary of the Banach-Steinhaus theorem:"
1.22,Every locally compact topological vector space $X$ has finite dimension.,"The origin of $X$ has a neighborhood $V$ whose closure is compact. By Theorem 1.15, $V$ is bounded, and the sets $2^{-n} V(n=1,2$, $3, \ldots$ ) form a local base for $X$.

The compactness of $\bar{V}$ shows that there exist $x_{1}, \ldots, x_{m}$ in $X$ such that

$$
\bar{V} \subset\left(x_{1}+\frac{1}{2} V\right) \cup \cdots \cup\left(x_{m}+\frac{1}{2} V\right)
$$

Let $Y$ be the vector space spanned by $x_{1}, \ldots, x_{m}$. Then $\operatorname{dim} Y \leq m$. By Theorem 1.21, $Y$ is a closed subspace of $X$.

Since $V \subset Y+\frac{1}{2} V$ and since $\lambda Y=Y$ for every scalar $\lambda \neq 0$, it follows that

$$
\frac{1}{2} V \subset Y+\frac{1}{4} V
$$

so that

$$
V \subset Y+\frac{1}{2} V \subset Y+Y+\frac{1}{4} V=Y+\frac{1}{4} V
$$

If we continue in this way, we see that

$$
V \subset \bigcap_{n=1}^{\infty}\left(Y+2^{-n} V\right)
$$

Since $\left\{2^{-n} V\right\}$ is a local base, it now follows from $(a)$ of Theorem 1.13 that $V \subset \bar{Y}$. But $\bar{Y}=Y$. Thus $V \subset Y$, which implies that $k V \subset Y$ for $k=1,2,3, \ldots$ Hence $Y=X$, by $(a)$ of Theorem 1.15 , and consequently $\operatorname{dim} X \leq m$."
3.3,"Suppose $M$ is a subspace of a vector space $X, p$ is a seminorm on $X$, and $f$ is a linear functional on $M$ such that

$$
|f(x)| \leq p(x) \quad(x \in M)
$$

Then $f$ extends to a linear functional $\Lambda$ on $X$ that satisfies

$$
|\Lambda x| \leq p(x) \quad(x \in X) .
$$

","If the scalar field is $R$, this is contained in Theorem 3.2, since $p$ now satisfies $p(-x)=p(x)$.

Assume that the scalar field is $\varnothing$. Put $u=\operatorname{Re} f$. By Theorem 3.2 there is a real-linear $U$ on $X$ such that $U=u$ on $M$ and $U \leq p$ on $X$. Let $\Lambda$ be the complex-linear functional on $X$ whose real part is $U$. The discussion in Section 3.1 implies that $\Lambda=f$ on $M$.

Finally, to every $x \in X$ corresponds an $\alpha \in \mathscr{C},|\alpha|=1$, such that $\alpha \Lambda x=|\Lambda x|$. Hence

$$
|\Lambda x|=\Lambda(\alpha x)=U(\alpha x) \leq p(\alpha x)=p(x)
$$"
4.23,"If $X$ is a Banach space, $T \in \mathscr{B}(X), T$ is compact, and $\lambda \neq 0$, then $T-\lambda I$ has closed range.","By $(d)$ of Theorem 4.18, $\operatorname{dim} \mathscr{N}(T-\lambda I)<\infty$. By $(a)$ of Lemma 4.21, $X$ is the direct sum of $\mathscr{N}(T-\lambda I)$ and a closed subspace $M$. Define an operator $S \in \mathscr{B}(M, X)$ by

$$
S x=T x-\lambda x .
$$

Then $S$ is one-to-one on $M$. Also, $\mathscr{R}(S)=\mathscr{R}(T-\lambda I)$. To show that $\mathscr{R}(S)$ is closed, it suffices to show the existence of an $r>0$ such that

$$
r\|x\| \leq\|S x\| \quad \text { for all } x \in M
$$

by Theorem 1.26.

If (2) fails for every $r>0$, there exists $\left\{x_{n}\right\}$ in $M$ such that $\left\|x_{n}\right\|=1, S x_{n} \rightarrow 0$, and (after passage to a subsequence) $T x_{n} \rightarrow x_{0}$ for some $x_{0} \in X$. (This is where compactness of $T$ is used.) It follows that $\lambda x_{n} \rightarrow x_{0}$. Thus $x_{0} \in M$, and

$$
S x_{0}=\lim \left(\lambda S x_{n}\right)=0
$$

Since $S$ is one-to-one, $x_{0}=0$. But $\left\|x_{n}\right\|=1$ for all $n$, and $x_{0}=$ $\lim \lambda x_{n}$, and so $\left\|x_{0}\right\|=|\lambda|>0$. This contradiction proves (2) for some $r>0$."
1.34 (a),Suppose $p$ is a seminorm on a vector space $X$: $p(0)=0$,"Statement $(a)$ follows from $p(\alpha x)=|\alpha| p(x)$, with $\alpha=0$."
1.34 (b),Suppose $p$ is a seminorm on a vector space $X$: $|p(x)-p(y)| \leq p(x-y)$,"The subadditivity of $p$ shows that

$$
p(x)=p(x-y+y) \leq p(x-y)+p(y)
$$

so that $p(x)-p(y) \leq p(x-y)$. This also holds with $x$ and $y$ interchanged. Since $p(x-y)=p(y-x),(b)$ follows."
1.34 (c),Suppose $p$ is a seminorm on a vector space $X$: $p(x) \geq 0$,"With $y=0,(b)$ implies (c)."
1.34 (d),Suppose $p$ is a seminorm on a vector space $X$: $\{x: p(x)=0\}$ is a subspace of $X$,"If $p(x)=p(y)=0$ and $\alpha, \beta$ are scalars, (c) implies

$$
0 \leq p(\alpha x+\beta y) \leq|\alpha| p(x)+|\beta| p(y)=0
$$

This proves $(d)$."
1.34 (e),"Suppose $p$ is a seminorm on a vector space $X$: The set $B=\{x: p(x)<1\}$ is convex, balanced, absorbing, and $p=\mu_{B}$","As to $(e)$, it is clear that $B$ is balanced. If $x \in B, y \in B$, and $0<t<1$, then

$$
p(t x+(1-t) y) \leq t p(x)+(1-t) p(y)<1 .
$$

Thus $B$ is convex. If $x \in X$ and $s>p(x)$ then $p\left(s^{-1} x\right)=s^{-1} p(x)<1$. This shows that $B$ is absorbing and also that $\mu_{B}(x) \leq s$. Hence $\mu_{B} \leq p$. But if $0<t \leq p(x)$ then $p\left(t^{-1} x\right) \geq 1$, and so $t^{-1} x$ is not in $B$. This implies $p(x) \leq \mu_{B}(x)$ and completes the proof."
2.2,"If $S$ is either

(a) a complete metric space, or

(b) a locally compact Hausdorff space,

then the intersection of every countable collection of dense open subsets of $S$ is dense in $S$.","Suppose $V_{1}, V_{2}, V_{3}, \ldots$ are dense open subsets of $S$. Let $B_{0}$ be an arbitrary nonempty open set in $S$. If $n \geq 1$ and an open $B_{n-1} \neq \varnothing$ has been chosen, then (because $V_{n}$ is dense) there exists an open $B_{n} \neq \varnothing$ with

$$
\bar{B}_{n} \subset V_{n} \cap B_{n-1}
$$

In case $(a), B_{n}$ may be taken to be a ball of radius $<1 / n$; in case $(b)$ the choice can be made so that $\overline{B_{n}}$ is compact. Put

$$
K=\bigcap_{n=1}^{\infty} \overline{B_{n}}
$$

In case $(a)$, the centers of the nested balls $B_{n}$ form a Cauchy sequence which converges to some point of $K$, and so $K \neq \varnothing$. In case $(b)$, $K \neq \varnothing$ by compactness. Our construction shows that $K \subset B_{0}$ and $K \subset V_{n}$ for each $n$. Hence $B_{0}$ intersects $\bigcap V_{n}$."
1.35 (a),Suppose $A$ is a convex absorbing set in a vector space $X$: $\mu_{A}(x+y) \leq \mu_{A}(x)+\mu_{A}(y)$,"If $t=\mu_{A}(x)+\varepsilon$ and $s=\mu_{A}(y)+\varepsilon$, for some $\varepsilon>0$, then $x / t$ and $y / s$ are in $A$; hence so is their convex combination

$$
\frac{x+y}{s+t}=\frac{t}{s+t} \cdot \frac{x}{t}+\frac{s}{s+t} \cdot \frac{y}{s}
$$

This shows that $\mu_{A}(x+y) \leq s+t=\mu_{A}(x)+\mu_{A}(y)+2 \varepsilon$, and $(a)$ is proved."
1.35 (b),Suppose $A$ is a convex absorbing set in a vector space $X$: $\mu_{A}(t x)=t \mu_{A}(x)$ if $t \geq 0$,Property $(b)$ is clear
1.35 (c),Suppose $A$ is a convex absorbing set in a vector space $X$ and $A$ is balanced: $\mu_{A}$ is a seminorm,$(c)$ follows from $(a)$ and $(b)$.
1.35 (d),Suppose $A$ is a convex absorbing set in a vector space $X$ and define $B=\left\{x: \mu_{A}(x)<1\right\}$ and $C=\left\{x: \mu_{A}(x) \leq 1\right\}$: $B \subset A \subset C$ and $\mu_{B}=\mu_{A}=\mu_{C}$,"When we turn to $(d)$, the inclusions $B \subset A \subset C$ show that $\mu_{C} \leq$ $\mu_{A} \leq \mu_{B}$. To prove equality, fix $x \in X$, and choose $s, t$ so that $\mu_{C}(x)<$ $s<t$. Then $x / s \in C, \mu_{A}(x / s) \leq 1, \mu_{A}(x / t) \leq s / t<1$; hence $x / t \in B$, so that $\mu_{B}(x) \leq t$. This holds for every $t>\mu_{C}(x)$. Hence $\mu_{B}(x) \leq \mu_{C}(x)$."
