Definition,Statement
10.10,"['For a Banach algebra $A$: If $x \\in A$, the spectrum $\\sigma(x)$ of $x$ is the set of all complex numbers $\\lambda$ such that $\\lambda e-x$ is not invertible. The complement of $\\sigma(x)$ is the resolvent set of $x$; it consists of all $\\lambda \\in \\mathbb{C}$ for which $(\\lambda e-x)^{-1}$ exists.\n\nThe spectral radius of $x$ is the number\n\n$$\n\\rho(x)=\\sup \\{|\\lambda|: \\lambda \\in \\sigma(x)\\}\n$$\n\nIt is the radius of the smallest closed circular disc in $\\mathcal{C}$, with center at 0 , which contains $\\sigma(x)$. Of course, (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> makes no sense if $\\sigma(x)$ is empty. But this never happens, as we shall see.']"
10.5,"For a complex algebra $A$ and a linear functional $\phi$ on $A$ which is not identically 0: If

$$
\phi(x y)=\phi(x) \phi(y)
$$

for all $x \in A$ and $y \in A$, then $\phi$ is called a complex homomorphism on $A.

(The exclusion of $\phi \equiv 0$ is, of course, just a matter of convenience.)

An element $x \in A$ is said to be invertible if it has an inverse in $A$, that is, if there exists an element $x^{-1} \in A$ such that

$$
x^{-1} x=x x^{-1}=e,
$$

where $e$ is the unit element of $A$.

Note that no $x \in A$ has more than one inverse, for if $y x=e=x z$ then

$$
y=y e=y(x z)=(y x) z=e z=z
$$"
5.12,"A topological group is a group $G$ in which a topology is defined that makes the group operations continuous. The most concise way to express this requirement is to postulate the continuity of the mapping $\phi: G \times G \rightarrow G$ defined by

$$
\phi(x, y)=x y^{-1}
$$

For each $a \in G$, the mappings $x \rightarrow a x$ and $x \rightarrow x a$ are homeomorphisms of $G$ onto $G; so is $x \rightarrow x^{-1}$. The topology of $G$ is therefore completely determined by any local base at the identity element $e$.

If we require (as we shall from now on) that every point of $G$ is a closed set, then the analogues of Theorems 1.10 to 1.12 hold (with exactly the same
proofs, except for changes in notation); in particular, the Hausdorff separation axiom holds.

If $f$ is any function with domain $G$, its left translates $L_{s} f$ and its right translates $R_{s} f$ are defined, for every $s \in G$, by

$$
\left(L_{s} f\right)(x)=f(s x), \quad\left(R_{s} f\right)(x)=f(x s) \quad(x \in G)
$$

A complex function $f$ on $G$ is said to be uniformly continuous if to every $\varepsilon>0$ corresponds a neighborhood $V$ of $e$ in $G$ such that

$$
|f(t)-f(s)|<\varepsilon
$$

whenever $s \in G, t \in G$, and $s^{-1} t \in V$.

A topological group $G$ whose topology is compact is called a compact group; in this case, $C(G)$ is, as usual, the Banach space of all complex continuous functions on $G$, with the supremum norm."
11.24,"For an algebra $A$ with an involution: If $x \in A$ and $x x^{*}=x^{*} x$, then $x$ is said to be normal. A set $S \subset A$ is said to be normal if $S$ commutes and if $x^{*} \in S$ whenever $x \in S."
7.24,"A complex measurable function $f$, defined in an open set $\Omega \subset R^{n}$, is said to be locally $L^{2}$ in $\Omega$ if $\int_{K}|f|^{2} d m_{n}<\infty$ for every compact $K \subset \Omega$.

Similarly, a distribution $u \in \mathscr{D}^{\prime}(\Omega)$ is locally $L^{2}$ if there is a function $g$, locally $L^{2}$ in $\Omega$, such that $u(\phi)=\int_{\Omega} g \phi d m_{n}$ for every $\phi \in \mathscr{D}(\Omega)$. To say that a function $f$ has a distribution derivative $D^{\alpha} f$ which is locally $L^{2}$ refers to the distribution $D^{\alpha} f$ and means, explicitly, that there is a function $g$, locally $L^{2}$, such that

$$
\int_{\Omega} g \phi d m_{n}=(-1)^{|\alpha|} \int_{\Omega} f D^{\alpha} \phi d m_{n}
$$

for every $\phi \in \mathscr{D}(\Omega)$. A priori, this says nothing about the existence of $D^{\alpha} f$ in the classical sense, in terms of limits of quotients.

On the other hand, the class $C^{(p)}(\Omega)$ consists, for each nonnegative integer $p$, of those complex functions $f$ in $\Omega$ whose derivatives $D^{\alpha} f$ exist in the classical sense, for each multi-index $\alpha$ with $|\alpha| \leq p$, and are continuous functions in $\Omega$.

We shall write $D_{i}^{k}$ for the differential operator $\left(\partial / \partial x_{i}\right)^{k}$."
11.27,"In a Banach algebra with involution, the statement "" $x \geq 0$ "" means that $x=x^{*}$ and that $\sigma(x) \subset[0, \infty)$."
11.14,"A mapping $x \rightarrow x^{*}$ of a complex (not necessarily commutative) algebra $A$ into $A$ is called an involution on $A$ if it has the following four properties, for all $x \in A, y \in A$, and $\lambda \in \mathscr{C}$ :

$$
\begin{aligned}
(x+y)^{*} & =x^{*}+y^{*} . \\
(\lambda x)^{*} & =\bar{\lambda} x^{*} . \\
(x y)^{*} & =y^{*} x^{*} . \\
x^{* *} & =x .
\end{aligned}
$$

In other words, an involution is a conjugate-linear antiautomorphism of period 2 .

Any $x \in A$ for which $x^{*}=x$ is called hermitian, or self-adjoint.

For example, $f \rightarrow \bar{f}$ is an involution on $C(X)$. The one that we will be most concerned with later is the passage from an operator on a Hilbert space to its adjoint."
6.29,"In the rest of this chapter, we shall write $\mathscr{D}$ and $\mathscr{D ^ { \prime }}$ in place of $\mathscr{D}\left(R^{n}\right)$ and $\mathscr{D}^{\prime}\left(R^{n}\right)$. If $u$ is a function in $R^{n}$, and $x \in R^{n}, \tau_{x} u$ and $\check{u}$ are the functions defined by

$$
\left(\tau_{x} u\right)(y)=u(y-x), \quad \check{u}(y)=u(-y) \quad\left(y \in R^{n}\right)
$$

Note that

$$
\left(\tau_{x} \check{u}\right)(y)=\check{u}(y-x)=u(x-y)
$$

If $u$ and $v$ are complex functions in $R^{n}$, their convolution $u * v$ is defined by

$$
(u * v)(x)=\int_{R^{n}} u(y) v(x-y) d y
$$

provided that the integral exists for all (or at least for almost all) $x \in R^{n}$, in the Lebesgue sense. Because of (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>,

$$
(u * v)(x)=\int_{R^{n}} u(y)\left(\tau_{x} \check{v}\right)(y) d y
$$

This makes it natural to define

$$
(u * \phi)(x)=u\left(\tau_{x} \check{\phi}\right) \quad\left(u \in \mathscr{D}^{\prime}, \phi \in \mathscr{D}, x \in R^{n}\right)
$$

for if $u$ is a locally integrable function, (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$> agrees with (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$>. Note that $u * \phi$ is a function.

The relation $\int\left(\tau_{x} u\right) \cdot v=\int u \cdot\left(\tau_{-x} v\right)$, valid for functions $u$ and $v$, makes it natural to define the translate $\tau_{x} u$ of $u \in \mathscr{D}^{\prime}$ by

$$
\left(\tau_{x} u\right)(\phi)=u\left(\tau_{-x} \phi\right) \quad\left(\phi \in \mathscr{D}, x \in R^{n}\right)
$$

Then, for each $x \in R^{n}, \tau_{x} u \in \mathscr{D}^{\prime}$; we leave the verification of the appropriate continuity requirement as an exercise."
11.17,"A Banach algebra $A$ with an involution $x \rightarrow x^{*}$ that satisfies

$$
\left\|x x^{*}\right\|=\|x\|^{2}
$$

for every $x \in A$ is called a $B^{*}$-algebra.

Note that $\|x\|^{2}=\left\|x x^{*}\right\| \leq\|x\|\left\|x^{*}\right\|$ implies $\|x\| \leq\left\|x^{*}\right\$, hence also

$$
\left\|x^{*}\right\| \leq\left\|x^{* *}\right\|=\|x\| .
$$

Thus

$$
\left\|x^{*}\right\|=\|x\]
$$

in every $B^{*}$-algebra. It also follows that

$$
\left\|x x^{*}\right\|=\|x\|\left\|x^{*}\right\ \text {. }
$$

Conversely, (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> and (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> obviously imply (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>."
11.30,"A positive functional is a linear functional $F$ on a Banach algebra $A$ with an involution, that satisfies

$$
F\left(x x^{*}\right) \geq 0
$$

for every $x \in A$. Note that $A$ is not assumed to be commutative and that continuity of $F$ is not postulated. (The meaning of the term ""positive"" depends of course on the particular involution that is under consideration.)"
11.8,"Let $\Delta$ be the set of all complex homomorphisms of a commutative Banach algebra $A$. The formula

$$
\hat{x}(h)=h(x) \quad(h \in \Delta)
$$

assigns to each $x \in A$ a function $\hat{x}: \Delta \rightarrow \mathscr{C}$; we call $\hat{x}$ the Gelfand transform of $x$.

Let $\hat{A}$ be the set of all $\hat{x}$, for $x \in A$. The Gelfand topology of $\Delta$ is the weak topology induced by $\hat{A}$, that is, the weakest topology that makes every $\hat{x}$ continuous. Then obviously $\hat{A} \subset C(\Delta)$, the algebra of all complex continuous functions on $\Delta$.

Since there is a one-to-one correspondence between the maximal ideals of $A$ and the members of $\Delta$ (Theorem 11.5 <> ), $\Delta$, equipped with its Gelfand topology, is usually called the maximal ideal space of $A$.

The term ""Gelfand transform"" is also applied to the mapping $x \rightarrow \hat{x}$ of $A$ onto $\hat{A}$.

The radical of $A$, denoted by $\operatorname{rad} A$, is the intersection of all maximal ideals of $A$. If $\operatorname{rad} A=\{0\}, A$ is called semisimple."
13.14,"A symmetric operator $T$ in $H$ is said to be maximally symmetric if $T$ has no proper symmetric extension, i.e., if the assumptions

$$
T \subset S, \quad S \text { symmetric }
$$

imply that $S=T$. "
3.30 (a),"For $\Omega$, an open set in $\varnothing$ and $X$, a complex topological vector space: A function $f: \Omega \rightarrow X$ is said to be weakly holomorphic in $\Omega$ if $\Lambda f$ is holomorphic in the ordinary sense for every $\Lambda \in X^{*}$."
3.30 (b),"For $\Omega$, an open set in $\varnothing$ and $X$, a complex topological vector space: A function $f: \Omega \rightarrow X$ is said to be strongly holomorphic in $\Omega$ if

$$
\lim _{w \rightarrow z} \frac{f(w)-f(z)}{w-z}
$$

exists (in the topology of $X$ ) for every $z \in \Omega$.

Note that the above quotient is the product of the scalar $(w-z)^{-1}$ and the vector $f(w)-f(z)$ in $X$.

The continuity of the functionals $\Lambda$ that occur in $(a)$ makes it obvious that every strongly holomorphic function is weakly holomorphic. The converse is true when $X$ is a Fr\'echet space, but it is far from obvious. (Recall that weakly convergent sequences may very well fail to converge originally.) The Cauchy theorem will play an important role in this proof, as will Theorem 3.18 <<
\[
\|x\| \leq \gamma \quad(x \in E) .
\]>,<
\[
\sup _{x \in E}|\Lambda x|<\infty \quad\left(\Lambda \in X^{*}\right)
\]>,<
\[
|\Lambda x| \leq \gamma \quad(x \in E, \Lambda \in K) .
\]>,<
\[
E \subset t \bar{V} \subset t U \quad(t>\gamma)
\]>,< $K=\left\{\Lambda \in X^{*}:|\Lambda x| \leq 1\right.$ for all $\left.x \in V\right\}$.>,<$$ $\bar{V}=\{x \in X:|\Lambda x| \leq 1 \quad$ for all $\Lambda \in K\}$>,<
\[
|\Lambda x| \leq \gamma(\Lambda) \quad(x \in E) .
\]>> ."
13.26,"The resolvent set of a linear operator $T$ in $H$ is the set of all $\lambda \in \mathscr{C}$ such that $T-\lambda I$ is a one-to-one mapping of $\mathscr{D}(T)$ onto $H$ whose inverse belongs to $\mathscr{B}(H)$.

In other words, $T-\lambda I$ should have an inverse $S \in \mathscr{B}(H)$, which satisfies

$$
S(T-\lambda I) \subset(T-\lambda I) S=I .
$$

For instance, Theorem 13.13 <>  states that -1 lies in the resolvent set of $T^{*} T$ if $T$ is densely defined and closed.

The spectrum $\sigma(T)$ of $T$ is the complement of the resolvent set of $T$, just as for bounded operators."
12.42,"['The term ""ergodic"" comes from statistical mechanics, where it is applied to systems in which ""time average = space average"" holds for certain quantities. To see a simple mathematical example, let $\\mu$ be a probability measure on some $\\sigma$-algebra $\\mathscr{M}$ in a set $\\Omega$, let $\\psi$ map $\\Omega$ into $\\Omega$, and define its iterates by $\\psi^{1}=\\psi, \\psi^{n}=\\psi \\circ \\psi^{n-1}(n=2,3,4, \\ldots)$. If we think of time as discrete, the ""time average"" of a function $f$ on $\\Omega$, relative to the transformation $\\psi$, is\n\n$$\n\\lim _{n \\rightarrow \\infty} \\frac{1}{n}\\left(f+f \\circ \\psi+\\cdots+f \\circ \\psi^{n-1}\\right)\n$$\n\nwhen this limit exists in some sense.\n\nThe ""space average"" of an $f \\in L^{1}(\\mu)$ is simply $\\int_{\\Omega} f d \\mu$.\n\nWe will be concerned with measure-preserving one-to-one maps $\\psi$ of $\\Omega$ onto $\\Omega$. This means that $\\psi(E)$ and $\\psi^{-1}(E)$ are in $\\mathscr{M}$ for every $E \\in \\mathscr{M}$ and that their measure is $\\mu(E)$. It is then clear that\n\n$$\n\\int_{\\Omega}(f \\circ \\psi) d \\mu=\\int_{\\Omega} f d \\mu\n$$\n\nfor every $f \\in L^{1}(\\mu)$.\n\nIf, moreover, $\\psi(E)=E \\in \\mathscr{M}$ occurs only when $\\mu(E)=0$ or $\\mu(E)=1$, then $\\psi$ is said to be ergodic. In that case it is clear that every measurable function $g$ for which $g \\circ \\psi=g$ a.e. $[\\mu]$ is constant a.e. $[\\mu]$.']"
10.1,"A complex algebra is a vector space $A$ over the complex field $\mathscr{C}$ in which a multiplication is defined that satisfies

$$
\begin{gathered}
x(y z)=(x y) z \
(x+y) z=x z+y z, \quad x(y+z)=x y+x z
\end{gathered}
$$

and

$$
\alpha(x y)=(\alpha x) y=x(\alpha y)
$$

for all $x, y$, and $z$ in $A$ and for all scalars $\alpha$.

If, in addition, $A$ is a Banach space with respect to a norm that satisfies the multiplicative inequality

$$
\|x y\| \leq\|x\|\|y\| \quad(x \in A, y \in A)
$$

and if $A$ contains a unit element $e$ such that

$$
x e=e x=x \quad(x \in A)
$$

and

$$
\|e\|=1
$$

then $A$ is called a Banach algebra.

Note that we have not required that $A$ be commutative, i.e., that
$x y=y x$ for all $x$ and $y$ in $A$, and we shall not do so except when explicitly stated.

It is clear that there is at most one $e \in A$ that satisfies (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$>, for if $e^{\prime}$ also satisfies (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$>, then $e^{\prime}=e^{\prime} e=e$.

The presence of a unit is very often omitted from the definition of a Banach algebra. However, when there is a unit it makes sense to talk about inverses, so that the spectrum of an element of $A$ can be defined in a more natural way than is otherwise possible. This leads to a more intuitive development of the basic theory. Moreover, the resulting loss of generality is small, because many naturally occurring Banach algebras have a unit, and because the others can be supplied with one in the following canonical fashion.

Suppose $A$ satisfies conditions (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> to (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$>, but $A$ has no unit element. Let $A_{1}$ consist of all ordered pairs $(x, \alpha)$, where $x \in A$ and $\alpha \in \mathscr{C}$. Define the vector space operations in $A_{1}$ componentwise, define multiplication in $A_{1}$ by

$$
(x, \alpha)(y, \beta)=(x y+\alpha y+\beta x, \alpha \beta)
$$

and define

$$
\|(x, \alpha)\|=\|x\|+|\alpha|, \quad e=(0,1)
$$

Then $A_{1}$ satisfies properties (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> to (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$>, and the mapping $x \rightarrow(x, 0)$ is an isometric isomorphism of $A$ onto a subspace of $A_{1}$ (in fact, onto a closed two-sided ideal of $\left.A_{1}\right)$ whose codimension is 1 . If $x$ is identified with $(x, 0)$, then $A_{1}$ is simply $A$ plus the one-dimensional vector space generated by $e$. See Examples $10.3(d)$ and $11.13(e)$.

The inequality (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> makes multiplication a continuous operation in $A$. This means that if $x_{n} \rightarrow x$ and $y_{n} \rightarrow y$ then $x_{n} y_{n} \rightarrow x y$, which follows from the identity

$$
x_{n} y_{n}-x y=\left(x_{n}-x\right) y_{n}+x\left(y_{n}-y\right)
$$

In particular, multiplication is left-continuous and right-continuous:

$$
x_{n} y \rightarrow x y \quad \text { and } \quad x y_{n} \rightarrow x y
$$

if $x_{n} \rightarrow x$ and $y_{n} \rightarrow y$.

It is interesting that (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> can be replaced by the (apparently) weaker requirement (10) <$$
\[
\left|D^{r} f_{n}\right| \leq m_{r} \quad(n \geq r)
\]$$> and that (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> can be dropped without enlarging the class of algebras under consideration."
1.31,"Suppose $X$ and $Y$ are topological vector spaces and $\Lambda: X \rightarrow Y$ is linear. $\Lambda$ is said to be bounded if $\Lambda$ maps bounded sets into bounded sets, i.e., if $\Lambda(E)$ is a bounded subset of $Y$ for every bounded set $E \subset X$. This definition conflicts with the usual notion of a bounded function as being one whose range is a bounded set. In that sense, no linear function (other than 0 ) could ever be bounded. Thus when bounded linear mappings (or transformations) are discussed, it is to be understood that the definition is in terms of bounded sets, as above."
7.11,"If $i: \mathscr{D}\left(R^{n}\right) \rightarrow \mathscr{S}_{n}$ is the identity mapping, if $L$ is a continuous linear functional on $\mathscr{S}_{n}$, and if

$$
u_{L}=L \circ i$$

then the continuity of $i$ (Theorem 7.10 <> ) shows that $u_{L} \in \mathscr{D}^{\prime}\left(R^{n}\right)$; the denseness of $\mathscr{D}\left(R^{n}\right)$ in $\mathscr{S}_{n}$ shows that two distinct $L$ 's cannot give rise to the same $u$. Thus (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> describes a vector space isomorphism between the dual space $\mathscr{S}_{n}^{\prime}$ of $\mathscr{S}_{n}$, on the one hand, and a certain space of distribution on the other. The distributions that arise in this way are called tempered:

The tempered distributions are precisely those $u \in \mathscr{D}^{\prime}\left(R^{n}\right)$ that have continuous extensions to $\mathscr{S}_{n}$."
13.1,"Let $H$ be a Hilbert space. By an operator in $H$ we shall now mean a linear mapping $T$ whose domain $\mathscr{D}(T)$ is a subspace of $H$ and whose range $\mathscr{R}(T)$ lies in $H.

It is not assumed that $T$ is bounded or continuous. Of course, if $T$ is continuous [relative to the norm topology that $\mathscr{D}(T)$ inherits from $H$ ] then $T$ has a continuous extension to the closure of $\mathscr{D}(T)$, hence to $H$, since $\overline{\mathscr{D}(T)}$ is complemented in $H$. In that case, $T$ is the restriction to $\mathscr{D}(T)$ of some member of $\mathscr{B}(H)$.

The graph $\mathscr{G}(T)$ of an operator $T$ in $H$ is the subspace of $H \times H$ that consists of the ordered pairs $\{x, T x\}$, where $x$ ranges over $\mathscr{D}(T)$. Obviously, $S$ is an extension of $T$ [that is, $\mathscr{D}(T) \subset \mathscr{D}(S)$ and $S x=T x$ for $x \in \mathscr{D}(T)]$ if and only if $\mathscr{G}(T) \subset \mathscr{G}(S)$. This inclusion will often be written in the simpler form

$$
T \subset S .
$$
A closed operator in $H$ is one whose graph is a closed subspace of $H \times H$. By the closed graph theorem, $T \in \mathscr{B}(H)$ if and only if $\mathscr{D}(T)=H$ and $T$ is closed.

We wish to associate a Hilbert space adjoint $T^{*}$ to $T$. Its domain $\mathscr{D}\left(T^{*}\right)$ is to consist of all $y \in H$ for which the linear functional

$$
x \rightarrow(T x, y)
$$

is continuous on $\mathscr{D}(T)$. If $y \in \mathscr{D}\left(T^{*}\right)$, then the Hahn-Banach theorem extends the functional (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> to a continuous linear functional on $H$, and therefore there exists an element $T^{*} y \in H$ that satisfies

$$
(T x, y)=\left(x, T^{*} y\right) \quad[x \in \mathscr{D}(T)]
$$

Obviously, $T^{*} y$ will be uniquely determined by (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> if and only if $\mathscr{D}(T)$ is dense in $H$, that is, if and only if $T$ is densely defined. The only operators $T$ that will be given an adjoint $T^{*}$ are therefore the densely defined ones. Routine verifications show then that $T^{*}$ is also an operator in $H$, that is, that $\mathscr{D}\left(T^{*}\right)$ is a subspace of $H$ and that $T^{*}$ is linear.

Note that if $T \in \mathscr{B}(H)$, then the definition of $T^{*}$ given here coincides with that given in Section 12.9. In particular, $\mathscr{D}\left(T^{*}\right)=H$ and $T^{*} \in \mathscr{B}(H)$.

Ordinary algebraic operations with unbounded operators must be handled with care; the domains have to be watched. Here are the natural definitions for the domains of sums and products:

$$
\begin{gathered}
\mathscr{D}(S+T)=\mathscr{D}(S) \cap \mathscr{D}(T) \\
\mathscr{D}(S T)=\{x \in \mathscr{D}(T): T x \in \mathscr{D}(S)\}
\end{gathered}
$$

The usual associative laws

$$
(R+S)+T=R+(S+T), \quad(R S) T=R(S T)
$$

then hold. As regards the distributive laws, one of them, namely, $(R+S) T=R T+S T$, holds in its usual form, but the other one may only hold in the form

$$
T(R+S) \supset T R+T S
$$

since it can happen that $(R+S) x \in \mathscr{D}(T)$, even though one of $R x$ or $S x$ is not in $\mathscr{D}(T)$. Scalar multiplication is defined as follows: If $\alpha=0$, then $\mathscr{D}(\alpha T)=H$ and $\alpha T=0$. If $\alpha \neq 0$, then $\mathscr{D}(\alpha T)=\mathscr{D}(T)$ and $(\alpha T) x=\alpha(T x)$ for $x \in \mathscr{D}(T)$."
2.1,"Let $S$ be a topological space. A set $E \subset S$ is said to be nowhere dense if its closure $\bar{E}$ has an empty interior. The sets of the first category in $S$ are those that are countable unions of nowhere dense sets. Any subset of $S$ that is not of the first category is said to be of the second category in $S$.

This terminology (due to Baire) is admittedly rather bland and unsuggestive. Meager and nonmeager have been used instead in some texts. But ""category arguments"" are so entrenched in the mathematical literature and are so well known that it seems pointless to insist on a change.

Here are some obvious properties of category that will be freely used in the sequel:
(a) If $A \subset B$ and $B$ is of the first category in $S$, so is $A$.

(b) Any countable union of sets of the first category is of the first category.

(c) Any closed set $E \subset S$ whose interior is empty is of the first category in $S$.

(d) If $h$ is a homeomorphism of $S$ onto $S$ and if $E \subset S$, then $E$ and $h(E)$ have the same category in $S$."
4.20,"Suppose $M$ is a closed subspace of a topological vector space $X$. If there exists a closed subspace $N$ of $X$ such that

$$
X=M+N \quad \text { and } \quad M \cap N=\{0\}
$$

then $M$ is said to be complemented in $X$. In this case, $X$ is said to be the direct sum of $M$ and $N$, and the notation

$$
X=M \oplus N
$$

is sometimes used."
13.3,"An operator $T$ in $H$ is said to be symmetric if

$$
(T x, y)=(x, T y)
$$

whenever $x \in \mathscr{D}(T)$ and $y \in \mathscr{D}(T)$. The densely defined symmetric operators are thus exactly those that satisfy

$$
T \subset T^{*}
$$

If $T=T^{*}$, then $T$ is said to be self-adjoint.

These two properties evidently coincide when $T \in \mathscr{B}(H)$. In general, they do not.

Moreover, if $\mathscr{D}(T)$ is dense and $(T x, y)=(x, S y)$ for all $x \in \mathscr{D}(T)$ and $y \in \mathscr{D}(S)$, then $S \subset T^{*}$."
