Definition,Statement
3.1,"A real function $\varphi$ defined on a segment $(a, b)$, where $-\infty \leq a<b \leq \infty$, is called convex if the inequality

$$
\varphi((1-\lambda) x+\lambda y) \leq(1-\lambda) \varphi(x)+\lambda \varphi(y)
$$

holds whenever $a<x<b, a<y<b$, and $0 \leq \lambda \leq 1$.

Graphically, the condition is that if $x<t<y$, then the point $(t, \varphi(t))$ should lie below or on the line connecting the points $(x, \varphi(x))$ and $(y, \varphi(y))$ in the plane. Also, (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> is equivalent to the requirement that

$$
\frac{\varphi(t)-\varphi(s)}{t-s} \leq \frac{\varphi(u)-\varphi(t)}{u-t}
$$

whenever $a<s<t<u<b$.

The mean value theorem for differentiation, combined with (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>, shows immediately that a real differentiable function $\varphi$ is convex in $(a, b)$ if and only if $a<s<t<b$ implies $\varphi^{\prime}(s) \leq \varphi^{\prime}(t)$, i.e., if and only if the derivative $\varphi^{\prime}$ is a monotonically increasing function.

For example, the exponential function is convex on $(-\infty, \infty)$. "
1.13,"For a sequence $\left\{a_{n}\right\}$ in $[-\infty, \infty]$: Let $b_{k}=\sup \left\{a_{k}, a_{k+1}, a_{k+2}, \ldots\right\}$ and $\beta=\inf \left\{b_{1}, b_{2}, b_{3}, \ldots\right\}$. We call $\beta$ the upper limit of $\left\{a_{n}\right\}$, and write

$$
\beta=\limsup _{n \rightarrow \infty} a_{n}
$$
The lower limit is defined analogously: simply interchange sup and inf in (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> and (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>. If $\left\{f_{n}\right\}$ is a sequence of extended-real functions on a set $X$, then $\sup f_{n}$ and $\lim \sup f_{n}$ are the functions defined on $X$ by

$$
\begin{aligned}
\left(\sup _{n} f_{n}\right)(x) & =\sup _{n}\left(f_{n}(x)\right), \\
\left(\limsup _{n \rightarrow \infty} f_{n}\right)(x) & =\limsup _{n \rightarrow \infty}\left(f_{n}(x)\right)
\end{aligned}
$$
If

$$
f(x)=\lim _{n \rightarrow \infty} f_{n}(x),
$$
the limit being assumed to exist at every $x \in X$, then we call $f$ the pointwise limit of the sequence $\left\{f_{n}\right\}$."
3.6,"For $0<p<\infty$ and a complex measurable function $f$ on $X$: Define

$$
\|f\|_{p}=\left\{\int_{X}|f|^{p} d \mu\right\}^{1 / p}
$$

and let $L^{p}(\mu)$ consist of all $f$ for which

$$
\|f\|_{p}<\infty
$$

We call $\|f\|_{p}$ the $L^{p}$-norm of $f$.

If $\mu$ is Lebesgue measure on $R^{k}$, we write $L^{p}\left(R^{k}\right)$ instead of $L^{p}(\mu)$, as in Sec. 2.21. If $\mu$ is the counting measure on a set $A$, it is customary to denote the corresponding $L^{p}$-space by $\ell^{p}(A)$, or simply by $\ell^{p}$, if $A$ is countable. An element of $\ell^{p}$ may be regarded as a complex sequence $x=\left\{\xi_{n}\right\}$, and

$$
\|x\|_{p}=\left\{\sum_{n=1}^{\infty}\left|\xi_{n}\right|^{p}\right\}^{1 / p}
$$"
3.7,"Suppose $g: X \rightarrow[0, \infty]$ is measurable. Let $S$ be the set of all real $\alpha$ such that

$$
\mu\left(g^{-1}((\alpha, \infty])\right)=0
$$

If $S=\varnothing$, put $\beta=\infty$. If $S \neq \varnothing$, put $\beta=\inf S$. Since

$$
g^{-1}((\beta, \infty])=\bigcup_{n=1}^{\infty} g^{-1}\left((\beta+\frac{1}{n}, \infty\right]\right)
$$

and since the union of a countable collection of sets of measure 0 has measure 0 , we see that $\beta \in S$. We call $\beta$ the essential supremum of $g$.

If $f$ is a complex measurable function on $X$, we define $\|f\|_{\infty}$ to be the essential supremum of $|f|$, and we let $L^{\infty}(\mu)$ consist of all $f$ for which $\|f\|_{\infty}<\infty$. The members of $L^{\infty}(\mu)$ are sometimes called essentially bounded measurable functions on $X$.

It follows from this definition that the inequality $|f(x)| \leq \lambda$ holds for almost all $x$ if and only if $\lambda \geq\|f\|_{\infty}$.

As in Definition 3.6 <> , $L^{\infty}\left(R^{k}\right)$ denotes the class of all essentially bounded (with respect to Lebesgue measure) functions on $R^{k}$, and $\ell^{\infty}(A)$ is the class of all bounded functions on $A$. (Here bounded means the same as essentially bounded, since every nonempty set has positive measure!)"
4.4,"It follows from the triangle inequality that

$$
\|x-z\| \leq\|x-y\|+\|y-z\| \quad(x, y, z \in H) .
$$

If we define the distance between $x$ and $y$ to be $\|x-y\|$, all the axioms for a metric space are satisfied; here, for the first time, we use part $(e)$ of Definition 4.1 <> .

Thus $H$ is now a metric space. If this metric space is complete, i.e., if every Cauchy sequence converges in $H$, then $H$ is called a Hilbert space.

Throughout the rest of this chapter, the letter $H$ will denote a Hilbert space."
5.3,"Consider a linear transformation $\Lambda$ from a normed linear space $X$ into a normed linear space $Y$, and define its norm by

$$
\|\Lambda\|=\sup \{\|\Lambda x\|: x \in X,\|x\| \leq 1\} .
$$

If $\|\Lambda\|<\infty$, then $\Lambda$ is called a bounded linear transformation.

In (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, $\|x\|$ is the norm of $x$ in $X,\|\Lambda x\|$ is the norm of $\Lambda x$ in $Y$; it will frequently happen that several norms occur together, and the context will make it clear which is which.

Observe that we could restrict ourselves to unit vectors $x$ in (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, i.e., to $x$ with $\|x\|=1$, without changing the supremum, since

$$
\|\Lambda(\alpha x)\|=\|\alpha \Lambda x\|=|\alpha|\|\Lambda x\| .
$$

Observe also that $\|\Lambda\|$ is the smallest number such that the inequality

$$
\|\Lambda x\| \leq\|\Lambda\|\|x\|
$$

holds for every $x \in X$.

The following geometric picture is helpful: $\Lambda$ maps the closed unit ball in $X$, i.e., the set

$$
\{x \in X:\|x\| \leq 1\}
$$

into the closed ball in $Y$ with center at 0 and radius $\|\Lambda\|$.

An important special case is obtained by taking the complex field for $Y$; in that case we talk about bounded linear functionals."
8.15,"{'Let $\\mu$ be a $\\sigma$-finite positive measure on some $\\sigma$-algebra in some set $X$. Let $f: X \\rightarrow[0, \\infty]$ be measurable. The function that assigns to each $t \\in[0, \\infty)$ the number\n\n$$\n\\mu\\{f>t\\}=\\mu(\\{x \\in X: f(x)>t\\})\n$$\n\nis called the distribution function of $f$. It is clearly a monotonic (nonincreasing) function of $t$ and is therefore Borel measurable.': 'The function that assigns to each $t \\in[0, \\infty)$ the number\n\n$$\n\\mu\\{f>t\\}=\\mu(\\{x \\in X: f(x)>t\\})\n$$\n\nis called the distribution function of $f$. It is clearly a monotonic (nonincreasing) function of $t$ and is therefore Borel measurable.'}"
2.1,"A complex vector space (or a vector space over the complex field) is a set $V$, whose elements are called vectors and in which two operations, called addition and scalar multiplication, are defined, with the following familiar algebraic properties:

To every pair of vectors $x$ and $y$ there corresponds a vector $x+y$, in such a way that $x+y=y+x$ and $x+(y+z)=(x+y)+z ; V$ contains a unique vector 0 (the zero vector or origin of $V$ ) such that $x+0=x$ for every $x \in V$; and to each $x \in V$ there corresponds a unique vector $-x$ such that $x+(-x)=0$.

To each pair $(\alpha, x)$, where $x \in V$ and $\alpha$ is a scalar (in this context, the word scalar means complex number), there is associated a vector $\alpha x \in V$, in such a way that $1 x=x, \alpha(\beta x)=(\alpha \beta) x$, and such that the two distributive laws

$$
\alpha(x+y)=\alpha x+\alpha y,(\alpha+\beta) x=\alpha x+\beta x
$$

hold.

A linear transformation of a vector space $V$ into a vector space $V_{1}$ is a mapping $\Lambda$ of $V$ into $V_{1}$ such that

$$
\Lambda(\alpha x+\beta y)=\alpha \Lambda x+\beta \Lambda y
$$

for all $x$ and $y \in V$ and for all scalars $\alpha$ and $\beta$. In the special case in which $V_{1}$ is the field of scalars (this is the simplest example of a vector space, except for the trivial one consisting of 0 alone), $\Lambda$ is called a linear functional. A linear functional is thus a complex function on $V$ which satisfies (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>.

Note that one often writes $\Lambda x$, rather than $\Lambda(x)$, if $\Lambda$ is linear."
5.2 (a),"For a complex vector space $X$: A complex vector space $X$ is said to be a normed linear space if to each $x \in X$ there is associated a nonnegative real number $\|x\|$, called the norm of $x$, such that $\|x+y\| \leq\|x\|+\|y\|$ for all $x$ and $y \in X$."
5.2 (b),For a complex vector space $X$ and a scalar $\alpha$: $\|a x\|=|\alpha|\|x\|$ if $x \in X$ and $\alpha$ is a scalar.
5.2 (c),For a complex vector space $X$: $\|x\|=0$ implies $x=0$.
1.35,"Let $P$ be a property which a point $x$ may or may not have. For instance, $P$ might be the property "" $f(x)>0$ "" if $f$ is a given function, or it might be "" $\left\{f_{n}(x)\right\}$ converges"" if $\left\{f_{n}\right\}$ is a given sequence of functions.

If $\mu$ is a measure on a $\sigma$-algebra $\mathfrak{M}$ and if $E \in \mathfrak{M}$, the statement "" $P$ holds almost everywhere on $E$ "" (abbreviated to "" $P$ holds a.e. on $E$ "") means that there exists an $N \in \mathfrak{M}$ such that $\mu(N)=0, N \subset E$, and $P$ holds at every point of $E-N$. This concept of a.e. depends of course very strongly on the given measure, and we shall write ""a.e. $[\mu]$ "" whenever clarity requires that the measure be indicated.

For example, if $f$ and $g$ are measurable functions and if

$$
\mu(\{x: f(x) \neq g(x)\})=0
$$

we say that $f=g$ a.e. $[\mu]$ on $X$, and we may write $f \sim g$. This is easily seen to be an equivalence relation. The transitivity $(f \sim g$ and $g \sim h$ implies $f \sim h)$ is a consequence of the fact that the union of two sets of measure 0 has measure 0 .

Note that if $f \sim g$, then, for every $E \in \mathfrak{M}$,

$$
\int_{E} f d \mu=\int_{E} g d \mu
$$

To see this, let $N$ be the set which appears in (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>; then $E$ is the union of the disjoint sets $E-N$ and $E \cap N$; on $E-N, f=g$, and $\mu(E \cap N)=0$.

Thus, generally speaking, sets of measure 0 are negligible in integration. It ought to be true that every subset of a negligible set is negligible. But it may happen that some set $N \in \mathfrak{M}$ with $\mu(N)=0$ has a subset $E$ which is not a member of $\mathfrak{M}$. Of course we can define $\mu(E)=0$ in this case. But will this extension of $\mu$ still be a measure, i.e., will it still be defined on a $\sigma$-algebra? It is a pleasant fact that the answer is affirmative:"
8.1 (a),"For sets $X$ and $Y$: If $A \subset X$ and $B \subset Y$, it follows that $A \times B \subset X \times Y$. We call any set of the form $A \times B$ a rectangle in $X \times Y$."
8.1 (b),"For measurable spaces $(X, \mathscr{S})$ and $(Y, \mathscr{T})$: A measurable rectangle is any set of the form $A \times B$, where $A \in \mathscr{S}$ and $B \in \mathscr{T}$."
8.1 (c),"For a class of elementary sets $\mathscr{E}$: If $Q=R_{1} \cup \cdots \cup R_{n}$, where each $R_{i}$ is a measurable rectangle and $R_{i} \cap R_{j}=\varnothing$ for $i \neq j$, we say that $Q \in \mathscr{E}$, the class of all elementary sets."
8.1 (d),"For measurable spaces $(X, \mathscr{S})$ and $(Y, \mathscr{T})$: $\mathscr{S} \times \mathscr{T}$ is defined to be the smallest $\sigma$-algebra in $X \times Y$ which contains every measurable rectangle."
8.1 (e),"For a monotone class $\mathfrak{M}$: A collection of sets with the following properties: If $A_{i} \in \mathfrak{M}, B_{i} \in \mathfrak{M}, A_{i} \subset A_{i+1}, B_{i} \supset B_{i+1}$, for $i=1,2,3, \ldots$, and if

$$
A=\bigcup_{i=1}^{\infty} A_{i}, \quad B=\bigcap_{i=1}^{\infty} B_{i}
$$

then $A \in \mathfrak{M}$ and $B \in \mathfrak{M}$."
8.1 (f),"For a set $E \subset X \times Y, x \in X, y \in Y$: We define

$$
E_{x}=\{y:(x, y) \in E\}, \quad E^{y}=\{x:(x, y) \in E\}
$$

We call $E_{x}$ and $E^{y}$ the $x$-section and $y$-section, respectively, of $E$. Note that $E_{x} \subset Y, E^{y} \subset X$."
10.19,"For a function $f \in H(\Omega-\{a\})$ where $a \in \Omega$: If $f$ can be so defined at $a$ that the extended function is holomorphic in $\Omega$, the singularity is said to be removable. If $f$ has an isolated singularity at the point $a$, it is said to have an isolated singularity at the point $a$."
2.8,"Let $f$ be a real (or extended-real) function on a topological space. If

$$
\{x: f(x)>\alpha\}
$$

is open for every real $\alpha, f$ is said to be lower semicontinuous. If

$$
\{x: f(x)<\alpha\}
$$

is open for every real $\alpha, f$ is said to be upper semicontinuous.

A real function is obviously continuous if and only if it is both upper and lower semicontinuous.

The simplest examples of semicontinuity are furnished by characteristic functions:
(a) Characteristic functions of open sets are lower semicontinuous.

(b) Characteristic functions of closed sets are upper semicontinuous.

The following property is an almost immediate consequence of the definitions:

(c) The supremum of any collection of lower semicontinuous functions is lower semicontinuous. The infimum of any collection of upper semicontinuous functions is upper semicontinuous."
2.9,"The support of a complex function $f$ on a topological space $X$ is the closure of the set

$$
\{x: f(x) \neq 0\} .
$$

The collection of all continuous complex functions on $X$ whose support is compact is denoted by $C_{c}(X)$.

Observe that $C_{c}(X)$ is a vector space. This is due to two facts:

(a) The support of $f+g$ lies in the union of the support of $f$ and the support of $g$, and any finite union of compact sets is compact.

(b) The sum of two continuous complex functions is continuous, as are scalar multiples of continuous functions.

(Statement and proof of Theorem 1.8 <>  hold verbatim if ""measurable function"" is replaced by ""continuous function,"" ""measurable space"" by ""topological space""; take $\Phi(s, t)=s+t$, or $\Phi(s, t)=s t$, to prove that sums and products of continuous functions are continuous.)"
10.2,"For a complex function $f$ defined in $\Omega$: If $z_{0} \in \Omega$ and if

$$
\lim _{z \rightarrow z_{0}} \frac{f(z)-f\left(z_{0}\right)}{z-z_{0}}
$$

exists, we denote this limit by $f^{\prime}\left(z_{0}\right)$ and call it the derivative of $f$ at $z_{0}$. If $f^{\prime}\left(z_{0}\right)$ exists for every $z_{0} \in \Omega$, we say that $f$ is holomorphic (or analytic) in $\Omega$. The class of all holomorphic functions in $\Omega$ will be denoted by $H(\Omega)$."
9.18,"A Banach space $A$ is said to be a Banach algebra if there is a multiplication defined in $A$ which satisfies the inequality

$$
\|x y\| \leq\|x\|\|y\| \quad(x \text { and } y \in A)
$$

the associative law $x(y z)=(x y) z$, the distributive laws

$$
x(y+z)=x y+x z, \quad(y+z) x=y x+z x \quad(x, y, \text { and } z \in A)
$$

and the relation

$$
(\alpha x) y=x(\alpha y)=\alpha(x y)
$$

where $\alpha$ is any scalar."
10.27,"A sequence $\left\{f_{j}\right\}$ of functions in $\Omega$ is said to converge to $f$ uniformly on compact subsets of $\Omega$ if to every compact $K \subset \Omega$ and to every $\epsilon>0$ there corresponds an $N=N(K, \epsilon)$ such that $\left|f_{j}(z)-f(z)\right|<\epsilon$ for all $z \in K$ if $j>N$.

For instance, the sequence $\left\{z^{n}\right\}$ converges to 0 uniformly on compact subsets of $D(0 ; 1)$, but the convergence is not uniform in $D(0 ; 1)$.

It is uniform convergence on compact subsets which arises most naturally in connection with limit operations on holomorphic functions. The term ""almost uniform convergence"" is sometimes used for this concept."
9.1,"['In this chapter we shall depart from the previous notation and use the letter $m$ not for Lebesgue measure on $R^{1}$ but for Lebesgue measure divided by $\\sqrt{2 \\pi}$. This convention simplifies the appearance of results such as the inversion theorem and the Plancherel theorem. Accordingly, we shall use the notation\n\n$$\n\\int_{-\\infty}^{\\infty} f(x) d m(x)=\\frac{1}{\\sqrt{2 \\pi}} \\int_{-\\infty}^{\\infty} f(x) d x\n$$\n\nwhere $d x$ refers to ordinary Lebesgue measure, and we define\n\n$$\n\\begin{aligned}\n& \\|f\\|_{p}=\\left\\{\\int_{-\\infty}^{\\infty}|f(x)|^{p} d m(x)\\right\\}^{1 / p} \\quad(1 \\leq p<\\infty), \\\\\n& (f * g)(x)=\\int_{-\\infty}^{\\infty} f(x-y) g(y) d m(y) \\quad\\left(x \\in R^{1}\\right),\n\\end{aligned}\n$$\n\nand\n\n$$\n\\hat{f}(t)=\\int_{-\\infty}^{\\infty} f(x) e^{-i x t} d m(x) \\quad\\left(t \\in R^{1}\\right)\n$$\n\nThroughout this chapter, we shall write $L^{p}$ in place of $L^{p}\\left(R^{1}\\right)$, and $C_{0}$ will denote the space of all continuous functions on $R^{1}$ which vanish at infinity.\n\nIf $f \\in L^{1}$, the integral (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> is well defined for every real $t$. The function $\\hat{f}$ is called the Fourier transform of $f$. Note that the term ""Fourier transform"" is also applied to the mapping which takes $f$ to $\\hat{f}$.\n\nThe formal properties which are listed in Theorem 9.2 <>  depend intimately on the translation-invariance of $m$ and on the fact that for each real $\\alpha$ the mapping $x \\rightarrow e^{i \\alpha x}$ is a character of the additive group $R^{1}$. By definition, a function $\\varphi$ is a character of $R^{1}$ if $|\\varphi(t)|=1$ and if\n\n$$\n\\varphi(s+t)=\\varphi(s) \\varphi(t)\n$$\n\nfor all real $s$ and $t$. In other words, $\\varphi$ is to be a homomorphism of the additive group $R^{1}$ into the multiplicative group of the complex numbers of absolute value 1. We shall see later (in the proof of Theorem 9.2 <> 3) that every continuous character of $R^{1}$ is given by an exponential.']"
7.17,"A complex function $f$, defined on an interval $I=[a, b]$, is said to be absolutely continuous on $I$ (briefly, $f$ is $\mathrm{AC}$ on $I$ ) if there corresponds to every $\epsilon>0$ a $\delta>0$ so that

$$
\sum_{i=1}^{n}\left|f\left(\beta_{i}\right)-f\left(\alpha_{i}\right)\right|<\epsilon
$$

for any $n$ and any disjoint collection of segments $\left(\alpha_{1}, \beta_{1}\right), \ldots,\left(\alpha_{n}, \beta_{n}\right)$ in $I$ whose lengths satisfy

$$
\sum_{i=1}^{n}\left(\beta_{i}-\alpha_{i}\right)<\delta
$$

Such an $f$ is obviously continuous: simply take $n=1$."
12.3,"For any $\alpha \in U$, define

$$
\varphi_{\alpha}(z)=\frac{z-\alpha}{1-\bar{\alpha} z}
$$"
10.31,"For $m=1,2,3, \ldots$, the "" $m^{\text {th }}$ power function"" $z \rightarrow z^{m}$ is denoted by $\pi_{m}$. Each $w \neq 0$ is $\pi_{m}(z)$ for precisely $m$ distinct values of $z$ : If $w=r e^{i \theta}, r>0$, then $\pi_{m}(z)=w$ if and only if $z=r^{1 / m} e^{i(\theta+2 k \pi) / m}, k=1, \ldots, m$. Note also that each $\pi_{m}$ is an open mapping: If $V$ is open and does not contain 0 , then $\pi_{m}(V)$ is open by Theorem 10.30 <>  <>  . On the other hand, $\pi_{m}(D(0 ; r))=D\left(0 ; r^{m}\right)$. Compositions of open mappings are clearly open. In particular, $\pi_{m} \circ \varphi$ is open, by Theorem 10.30 <>  <> , if $\varphi^{\prime}$ has no zero. The following theorem (which contains the more detailed version of the open mapping theorem that was mentioned prior to Lemma 10.29 <> ) states a converse: Every nonconstant holomorphic function in a region is locally of the form $\pi_{m} \circ \varphi$, except for an additive constant."
9.7,"A Pair of Auxiliary Functions In the proof of the inversion theorem it will be convenient to know a positive function $H$ which has a positive Fourier transform whose integral is easily calculated. Among the many possibilities we choose one which is of interest in connection with harmonic functions in a half plane. (See Exercise 25, Chap. 11.)

Put

$$
H(t)=e^{-|t|}
$$

and define

$$
h_{\lambda}(x)=\int_{-\infty}^{\infty} H(\lambda t) e^{i t x} d m(t) \quad(\lambda>0)
$$

A simple computation gives

$$
h_{\lambda}(x)=\sqrt{\frac{2}{\pi}} \frac{\lambda}{\lambda^{2}+x^{2}}
$$

and hence

$$
\int_{-\infty}^{\infty} h_{\lambda}(x) d m(x)=1
$$

Note also that $0<H(t) \leq 1$ and that $H(\lambda t) \rightarrow 1$ as $\lambda \rightarrow 0$."
10.1 (a),"For $r>0$ and $a$ a complex number: $D(a ; r)=\{z:|z-a|<r\}$ is the open circular disc with center at $a$ and radius $r$. $\bar{D}(a ; r)$ is the closure of $D(a ; r)$, and $D^{\prime}(a ; r)=\{z: 0<|z-a|<r\}$ is the punctured disc with center at $a$ and radius $r$."
