Proposition,Statement,Proof
6.8 (b),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda_{1} \perp \lambda_{2}$, then $\left|\lambda_{1}\right| \perp \left|\lambda_{2}\right|$",This follows immediately from 6.8 (a).
6.8 (c),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda_{1} \perp \mu$ and $\lambda_{2} \perp \mu$, then $\lambda_{1}+\lambda_{2} \perp \mu$","There are disjoint sets $A_{1}$ and $B_{1}$ such that $\lambda_{1}$ is concentrated on $A_{1}$ and $\mu$ on $B_{1}$, and there are disjoint sets $A_{2}$ and $B_{2}$ such that $\lambda_{2}$ is concentrated on $A_{2}$ and $\mu$ on $B_{2}$. Hence $\lambda_{1}+\lambda_{2}$ is concentrated on $A=A_{1} \cup$ $A_{2}, \mu$ is concentrated on $B=B_{1} \cap B_{2}$, and $A \cap B=\varnothing$."
6.8 (d),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda_{1} \ll \mu$ and $\lambda_{2} \ll \mu$, then $\lambda_{1}+\lambda_{2} \ll \mu$",This is obvious.
6.8 (e),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda \ll \mu$, then $|\lambda| \ll \mu$","Suppose $\mu(E)=0$, and $\left\{E_{j}\right\}$ is a partition of $E$. Then $\mu\left(E_{j}\right)=0$; and since $\lambda \ll \mu, \lambda\left(E_{j}\right)=0$ for all $j$, hence $\sum\left|\lambda\left(E_{j}\right)\right|=0$. This implies $|\lambda|(E)=0$."
6.8 (f),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda_{1} \ll \mu$ and $\lambda_{2} \perp \mu$, then $\lambda_{1} \perp \lambda_{2}$","Since $\lambda_{2} \perp \mu$, there is a set $A$ with $\mu(A)=0$ on which $\lambda_{2}$ is concentrated. Since $\lambda_{1} \ll \mu, \lambda_{1}(E)=0$ for every $E \subset A$. So $\lambda_{1}$ is concentrated on the complement of $A$."
6.8 (g),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda \ll \mu$ and $\lambda \perp \mu$, then $\lambda=0$","By 6.8 (f), the hypothesis of 6.8 (g) implies, that $\lambda \perp \lambda$, and this clearly forces $\lambda=0$."
1.25,"Let $s$ and $t$ be nonnegative measurable simple functions on $X$. For $E \in \mathfrak{M}$, define

$$
\varphi(E)=\int_{E} s d \mu
$$

Then $\varphi$ is a measure on $\mathfrak{M}$. Also

$$
\int_{X}(s+t) d \mu=\int_{X} s d \mu+\int_{X} t d \mu
$$

","If $s$ is as in Definition 1.23 <> , and if $E_{1}, E_{2}, \ldots$ are disjoint members of $\mathfrak{M}$ whose union is $E$, the countable additivity of $\mu$ shows that

$$
\begin{aligned}
\varphi(E) & =\sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E\right)=\sum_{i=1}^{n} \alpha_{i} \sum_{r=1}^{\infty} \mu\left(A_{i} \cap E_{r}\right) \\
& =\sum_{r=1}^{\infty} \sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E_{r}\right)=\sum_{r=1}^{\infty} \varphi\left(E_{r}\right) .
\end{aligned}
$$

Also, $\varphi(\varnothing)=0$, so that $\varphi$ is not identically $\infty$.

Next, let $s$ be as before, let $\beta_{1}, \ldots, \beta_{m}$ be the distinct values of $t$, and let $B_{j}=\left\{x: t(x)=\beta_{j}\right\}$. If $E_{i j}=A_{i} \cap B_{j}$, then

and

$$
\begin{gathered}
\int_{E_{i j}}(s+t) d \mu=\left(\alpha_{i}+\beta_{j}\right) \mu\left(E_{i j}\right) \\
\int_{E_{i j}} s d \mu+\int_{E_{i j}} t d \mu=\alpha_{i} \mu\left(E_{i j}\right)+\beta_{j} \mu\left(E_{i j}\right)
\end{gathered}
$$

Thus (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> holds with $E_{i j}$ in place of $X$. Since $X$ is the disjoint union of the sets $E_{i j}(1 \leq i \leq n, 1 \leq j \leq m)$, the first half of our proposition implies that (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> holds."
1.26,"Lebesgue's Monotone Convergence Theorem: Let $\left\{f_{n}\right\}$ be a sequence of measurable functions on $X$, and suppose that

(a) $0 \leq f_{1}(x) \leq f_{2}(x) \leq \cdots \leq \infty$ for every $x \in X$,

(b) $f_{n}(x) \rightarrow f(x)$ as $n \rightarrow \infty$, for every $x \in X$.

Then $f$ is measurable, and

$$
\int_{X} f_{n} d \mu \rightarrow \int_{X} f d \mu \quad \text { as } n \rightarrow \infty
$$","Since $\int f_{n} \leq \int f_{n+1}$, there exists an $\alpha \in[0, \infty]$ such that

$$
\int_{X} f_{n} d \mu \rightarrow \alpha \quad \text { as } n \rightarrow \infty
$$

By Theorem 1.14 <> , $f$ is measurable. Since $f_{n} \leq f$, we have $\int f_{n} \leq \int f$ for every $n$, so (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> implies

$$
\alpha \leq \int_{x} f d \mu
$$

Let $s$ be any simple measurable function such that $0 \leq s \leq f$, let $c$ be a constant, $0<c<1$, and define

$$
E_{n}=\left\{x: f_{n}(x) \geq c s(x)\right\} \quad(n=1,2,3, \ldots)
$$

Each $E_{n}$ is measurable, $E_{1} \subset E_{2} \subset E_{3} \subset \cdots$, and $X=\bigcup E_{n}$. To see this equality, consider some $x \in X$. If $f(x)=0$, then $x \in E_{1}$; if $f(x)>0$, then $c s(x)<f(x)$, since $c<1$; hence $x \in E_{n}$ for some $n$. Also

$$
\int_{X} f_{n} d \mu \geq \int_{E_{n}} f_{n} d \mu \geq c \int_{E_{n}} s d \mu \quad(n=1,2,3, \ldots)
$$

Let $n \rightarrow \infty$, applying Proposition 1.25 <>  and Theorem $1.19(d)$ to the last integral in (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$>. The result is

$$
\alpha \geq c \int_{X} s d \mu
$$

Since (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$> holds for every $c<1$, we have

$$
\alpha \geq \int_{X} s d \mu
$$

for every simple measurable $s$ satisfying $0 \leq s \leq f$, so that

$$
\alpha \geq \int_{X} f d \mu
$$

The theorem follows from (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>, and (7) <$$ A(r) \subset A(r)+A(t-r) \subset A(t) \quad if \quad r<t.$$>."
5.17 (a),"Let $V$ be a complex vector space and $u$ is the real part of a complex-linear functional $f$ on $V$, then

$$
f(x)=u(x)-i u(i x) \quad(x \in V) .$$

","If $\alpha$ and $\beta$ are real numbers and $z=\alpha+i \beta$, the real part of $i z$ is $-\beta$. This gives the identity

$$
z=\operatorname{Re} z-i \operatorname{Re}(i z)
$$

for all complex numbers $z$. Since

$$
\operatorname{Re}(i f(x))=\operatorname{Re} f(i x)=u(i x)
$$

(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> follows from (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> with $z=f(x)$."
5.17 (b),"Let $V$ be a complex vector space and $u$ is a real-linear functional on $V$ and if $f$ is defined by (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, then $f$ is a complex-linear functional on $V$.","Under the hypotheses $(b)$, it is clear that $f(x+y)=f(x)+f(y)$ and that $f(\alpha x)=\alpha f(x)$ for all real $\alpha$. But we also have

$$
f(i x)=u(i x)-i u(-x)=u(i x)+i u(x)=i f(x)
$$

which proves that $f$ is complex-linear."
5.17 (c),"Let $V$ be a normed linear space and $f$ and $u$ are related as in (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, then $\|f\|=\|u\|$.","Since $|u(x)| \leq|f(x)|$, we have $\|u\| \leq\|f\|$. On the other hand, to every $x \in V$ there corresponds a complex number $\alpha,|\alpha|=1$, so that $\alpha f(x)=|f(x)|$. Then

$$
|f(x)|=f(\alpha x)=u(\alpha x) \leq\|u\| \cdot\|\alpha x\|=\|u\| \cdot\|x\|,
$$

which proves that $\|f\| \leq\|u\|$."
5.18,"We first assume that $X$ is a real normed linear space and, consequently, that $f$ is a real-linear bounded functional on $M$. If $\|f\|=0$, the desired extension is $F=0$. Omitting this case, there is no loss of generality in assuming that $\|f\|=1$.","Choose $x_{0} \in X, x_{0} \notin M$, and let $M_{1}$ be the vector space spanned by $M$ and $x_{0}$. Then $M_{1}$ consists of all vectors of the form $x+\lambda x_{0}$, where $x \in M$ and $\lambda$ is a real scalar. If we define $f_{1}\left(x+\lambda x_{0}\right)=f(x)+\lambda \alpha$, where $\alpha$ is any fixed real number, it is trivial to verify that an extension of $f$ to a linear functional on $M_{1}$ is obtained. The problem is to choose $\alpha$ so that the extended functional still has norm 1 . This will be the case provided that

$$
|f(x)+\lambda \alpha| \leq\left\|x+\lambda x_{0}\right\| \quad(x \in M, \lambda \text { real }) .
$$

Replace $x$ by $-\lambda x$ and divide both sides of (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> by $|\lambda|$. The requirement is then that

$$
|f(x)-\alpha| \leq\left\|x-x_{0}\right\| \quad(x \in M)
$$

i.e., that $A_{x} \leq \alpha \leq B_{x}$ for all $x \in M$, where

$$
A_{x}=f(x)-\left\|x-x_{0}\right\| \quad \text { and } \quad B_{x}=f(x)+\left\|x-x_{0}\right\| \text {. }
$$

There exists such an $\alpha$ if and only if all the intervals $\left[A_{x}, B_{x}\right]$ have a common point, i.e., if and only if

$$
A_{x} \leq B_{y}
$$

for all $x$ and $y \in M$. But

$$
f(x)-f(y)=f(x-y) \leq\|x-y\| \leq\left\|x-x_{0}\right\|+\left\|y-x_{0}\right\|,
$$

and so (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> follows from (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$>.

We have now proved that there exists a norm-preserving extension $f_{1}$ of $f$ on $M_{1}$.

Let $\mathscr{P}$ be the collection of all ordered pairs $\left(M^{\prime}, f^{\prime}\right)$, where $M^{\prime}$ is a subspace of $X$ which contains $M$ and where $f^{\prime}$ is a real-linear extension of $f$ to $M^{\prime}$, with $\left\|f^{\prime}\right\|=1$. Partially order $\mathscr{P}$ by declaring $\left(M^{\prime}, f^{\prime}\right) \leq\left(M^{\prime \prime}, f^{\prime \prime}\right)$ to mean that $M^{\prime} \subset M^{\prime \prime}$ and $f^{\prime \prime}(x)=f^{\prime}(x)$ for all $x \in M^{\prime}$. The axioms of a partial order
are clearly satisfied, $\mathscr{P}$ is not empty since it contains $(M, f)$, and so the Hausdorff maximality theorem asserts the existence of a maximal totally ordered subcollection $\Omega$ of $\mathscr{P}$.

Let $\Phi$ be the collection of all $M^{\prime}$ such that $\left(M^{\prime}, f^{\prime}\right) \in \Omega$. Then $\Phi$ is totally ordered, by set inclusion, and therefore the union $\tilde{M}$ of all members of $\Phi$ is a subspace of $X$. (Note that in general the union of two subspaces is not a subspace. An example is two planes through the origin in $R^{3}$.) If $x \in \tilde{M}$, then $x \in M^{\prime}$ for some $M^{\prime} \in \Phi$; define $F(x)=f^{\prime}(x)$, where $f^{\prime}$ is the function which occurs in the pair $\left(M^{\prime}, f^{\prime}\right) \in \Omega$. Our definition of the partial order in $\Omega$ shows that it is immaterial which $M^{\prime} \in \Phi$ we choose to define $F(x)$, as long as $M^{\prime}$ contains $x$.

It is now easy to check that $F$ is a linear functional on $\tilde{M}$, with $\|F\|=1$. If $\tilde{M}$ were a proper subspace $X$, the first part of the proof would give us a further extension of $F$, and this would contradict the maximality of $\Omega$. Thus $\tilde{M}=X$, and the proof is complete for the case of real scalars.

If now $f$ is a complex-linear functional on the subspace $M$ of the complex normed linear space $X$, let $u$ be the real part of $f$, use the real Hahn-Banach theorem to extend $u$ to a real-linear functional $U$ on $X$, with $\|U\|=\|u\|$, and define

$$
F(x)=U(x)-i U(i x) \quad(x \in X) .
$$

By Proposition 5.17 <> , $F$ is a complex-linear extension of $f$, and

$$
\|F\|=\|U\|=\|u\|=\|f\| .
$$

This completes the proof."
